Time,B1,B2,B3,B4,L1,L2,L3,L4,L5,L6,L8
  0,1.70,4.01,1.86,2.51,5.52,3.93,1.90,4.30,7.83,4.96,2.39
100,1.70,4.01,1.86,2.51,5.52,3.93,1.90,4.30,7.83,4.96,2.39
