Time,B2,B3,B4,B5,L1,L2,L3,L4,L5,L6,L7,L8
  0,0.86,1.73,0.76,0.79,1.62,1.26,2.48,1.76,1.33,1.11,0.66,2.17
100,0.86,1.73,0.76,0.79,1.62,1.26,2.48,1.76,1.33,1.11,0.66,2.17
