m,kW/m2,m,kW/m2,kW
r,Q(r),z,Q(z),Qb
0.247,5.224,0.02,1.276,2.43837
0.305,3.555,0.27,1.471,NaN
0.372,3.166,0.495,1.535,NaN
0.457,2.042,0.67,1.497,NaN
0.789,0.793,1.14,1.088,NaN
1.389,0.207,1.89,0.408,NaN
NaN,NaN,2.345,0.219,NaN
NaN,NaN,3.185,0.045,NaN
