m,kW/m2,m,kW/m2,kW
r,Q(r),z,Q(z),Qb
0.081,0.0039,0.002,0.077826,0.17
0.13,0,0.088,0.29217,NaN
0.208,0,0.203,0.095652,NaN
0.344,0,0.393,0.0052174,Nan
0.6,0,0.668,0.0078261,NaN
NaN,NaN,1.088,0.0030435,NaN
