m,kW/m2,m,kW/m2,kW
r,Q(r),z,Q(z),Qb
0.566,0.058,-0.017,0.244,14.7
0.609,0.052,0.119,0.44,NaN
0.709,0.04,0.464,0.554,NaN
0.972,0.014,0.767,0.397,NaN
NaN,NaN,1.095,0.257,NaN
NaN,NaN,1.455,0.139,NaN
NaN,NaN,1.794,0.11,NaN
