Test,Fuel,XO2,YO2,p (atm),p (Pa),mdot_pp (g/m2-s),T_s (C),T_H (C),qdot_pp_net (kW/m2),y_f (mm),HOC (kJ/kg),Z_f,Area (m2),HRR (kW),HRRPUA ,W_FUEL,RHO,k,cp,alpha,delta
1,C2H4,0.21,0.2329,1,101325,5.88,101,26.5,7.01,56.7,47165.5,0.0637,0.001963494,0.54454,277.3,28.05,0.913727117,1.87E-02,1.53E+03,1.34E-05,6.78E-07
2,C2H4,0.3,0.3287,0.7,70927.5,5.8,103.8,26.3,7.76,69.5,47165.5,0.0637,0.001963494,0.53713,273.6,28.05,0.63485794,1.87E-02,1.53E+03,1.93E-05,8.36E-07
3,C2H4,0.26,0.2864,0.81,82073.3,5.86,99.8,26.5,7.11,60.1,47165.5,0.0637,0.001963494,0.54269,276.4,28.05,0.742500816,1.87E-02,1.53E+03,1.65E-05,7.75E-07
4,C2H4,0.21,0.2329,1,101325,4.87,114,27.7,5.82,45.6,47165.5,0.0637,0.001963494,0.45101,229.7,28.05,0.883045334,1.87E-02,1.53E+03,1.38E-05,7.38E-07
5,C2H4,0.21,0.2329,1,101325,3.41,135.3,66.9,8.58,43.1,47165.5,0.0637,0.001963494,0.31580,160.8,28.05,0.836995963,1.87E-02,1.53E+03,1.46E-05,6.72E-07
6,C2H4,0.3,0.3287,0.7,70927.5,3.34,84.8,71.2,11.41,44.1,47165.5,0.0637,0.001963494,0.30931,157.5,28.05,0.668556225,1.87E-02,1.53E+03,1.83E-05,7.10E-07
7,C2H4,0.3,0.3287,1,101325,3.49,95.2,68.5,13.56,37.4,47165.5,0.0637,0.001963494,0.32321,164.6,28.05,0.928114567,1.87E-02,1.53E+03,1.32E-05,5.39E-07
8,C2H4,0.3,0.3287,0.5,50662.5,3.44,91.8,77.9,8.11,60.2,47165.5,0.0637,0.001963494,0.31858,162.2,28.05,0.468380601,1.87E-02,1.53E+03,2.61E-05,1.01E-06
9,C2H4,0.26,0.2864,0.81,82073.3,3.47,89,71.7,10.18,48,47165.5,0.0637,0.001963494,0.32135,163.7,28.05,0.764643599,1.87E-02,1.53E+03,1.60E-05,6.74E-07
10,C2H4,0.26,0.2864,1,101325,3.54,91.5,70.8,12.03,39.6,47165.5,0.0637,0.001963494,0.32784,167.0,28.05,0.937531882,1.87E-02,1.53E+03,1.30E-05,5.57E-07
11,50% C2H4,0.21,0.2329,1,101325,6.87,77.7,65.8,6.96,67,23599.5,0.1200,0.001963494,0.31834,162.1,28.03,0.97342975,1.87E-02,1.53E+03,1.26E-05,6.52E-07
12,50% C2H4,0.3,0.3287,1,101325,6.85,80.7,66.9,10.3,50.7,23599.5,0.1200,0.001963494,0.31741,161.7,28.03,0.965176849,1.87E-02,1.53E+03,1.27E-05,5.75E-07
13,50% C2H4,0.3,0.3287,0.7,70927.5,6.14,80.7,73.7,7.64,61.3,23599.5,0.1200,0.001963494,0.28451,144.9,28.03,0.675623794,1.87E-02,1.53E+03,1.81E-05,8.06E-07
14,50% C2H4,0.3,0.3287,0.5,50662.5,6.62,85.5,71.9,7.67,80,23599.5,0.1200,0.001963494,0.30675,156.2,28.03,0.476129692,1.87E-02,1.53E+03,2.57E-05,1.02E-06
15,50% C2H4,0.26,0.2864,1,101325,6.74,81.9,76.6,8.32,70.4,23599.5,0.1200,0.001963494,0.31231,159.1,28.03,0.961914738,1.87E-02,1.53E+03,1.27E-05,6.19E-07
16,50% C2H4,0.26,0.2864,0.81,82073.3,6.76,78.4,74.2,7.3,71,23599.5,0.1200,0.001963494,0.31324,159.5,28.03,0.786908574,1.87E-02,1.53E+03,1.55E-05,7.39E-07
17,CH4,0.21,0.2329,1,101325,3.98,57,65.9,6.26,70.5,50010.3,0.0761,0.001963494,0.39082,199.0,16.00,0.59059417,1.87E-02,1.53E+03,2.07E-05,9.42E-07
18,CH4,0.3,0.3287,1,101325,3.95,79.7,69.8,10.15,60.2,50010.3,0.0761,0.001963494,0.38787,197.5,16.00,0.552599307,1.87E-02,1.53E+03,2.21E-05,8.38E-07
19,CH4,0.3,0.3287,0.7,70927.5,3.88,67.8,76.2,7.74,61.4,50010.3,0.0761,0.001963494,0.38100,194.0,16.00,0.400320474,1.87E-02,1.53E+03,3.05E-05,1.14E-06
20,CH4,0.3,0.3287,0.5,50662.5,4.09,59.9,70,4.45,74.9,50010.3,0.0761,0.001963494,0.40162,204.5,16.00,0.292725815,1.87E-02,1.53E+03,4.18E-05,1.69E-06
21,CH4,0.26,0.2864,1,101325,4.08,63.1,61,8.43,51.7,50010.3,0.0761,0.001963494,0.40064,204.0,16.00,0.579880046,1.87E-02,1.53E+03,2.11E-05,8.64E-07
22,CH4,0.26,0.2864,0.81,82073.3,4.02,59.2,67.2,6.69,51.1,50010.3,0.0761,0.001963494,0.39474,201.0,16.00,0.475214909,1.87E-02,1.53E+03,2.57E-05,1.07E-06
23,C2H4,0.21,0.2329,1,101325,2.43,92.5,61.1,11.16,33,47165.5,0.0637,0.001963494,0.22504,114.6,28.05,0.934967868,1.87E-02,1.53E+03,1.31E-05,5.72E-07
24,50% C2H4,0.21,0.2329,1,101325,3.67,76.5,65.4,10.03,38.1,23599.5,0.1200,0.001963494,0.17006,86.6,28.03,0.976770565,1.87E-02,1.53E+03,1.25E-05,5.76E-07
25,50% C2H4,0.21,0.2329,1,101325,5.55,63.8,61.1,7.47,54.1,23599.5,0.1200,0.001963494,0.25717,131.0,28.03,1.013586075,1.87E-02,1.53E+03,1.21E-05,6.20E-07
26,C2H4,0.21,0.2329,1,101325,5.95,75,59.2,6.43,48.1,47165.5,0.0637,0.001963494,0.55102,280.6,28.05,0.981964673,1.87E-02,1.53E+03,1.24E-05,6.65E-07
27,C2H4,0.3,0.3287,1,101325,5.87,97.7,61.1,10.03,63.3,47165.5,0.0637,0.001963494,0.54362,276.9,28.05,0.921857896,1.87E-02,1.53E+03,1.33E-05,5.98E-07
28,C2H4,0.26,0.2864,1,101325,5.76,74,70.7,9,58.4,47165.5,0.0637,0.001963494,0.53343,271.7,28.05,0.98479332,1.87E-02,1.53E+03,1.24E-05,5.94E-07
