Test,Fuel,XO2,YO2,p (atm),p (Pa),mdot_pp (g/m2-s),T_s (C),T_H (C),qdot_pp_net (kW/m2),y_f (mm),HOC (kJ/kg),Z_f,Area (m2),HRR (kW),HHRPUA,W_FUEL,RHO,k,cp,alpha,delta
1,C2H4,0.21,0.2329,1,101325,6.17,31.5,28.8,6.39,37,47165.5243,0.0637,0.000490873,0.14285,291.0,28.05,1.122,1.87E-02,1.53E+03,1.09E-05,6.10E-07
2,C2H4,0.21,0.2329,1,101325,4.65,32.7,31.6,8.88,33,47165.5243,0.0637,0.000490873,0.10766,219.3,28.05,1.118,1.87E-02,1.53E+03,1.09E-05,5.48E-07
3,C2H4,0.21,0.2329,1,101325,3.61,31.5,31.2,11.69,24.3,47165.5243,0.0637,0.000490873,0.08358,170.3,28.05,1.122,1.87E-02,1.53E+03,1.09E-05,4.99E-07
4,C2H4,0.3,0.3287,1,101325,3.58,34.7,35.2,20.18,17.4,47165.5243,0.0637,0.000490873,0.08289,168.9,28.05,1.111,1.87E-02,1.53E+03,1.10E-05,4.19E-07
5,C2H4,0.3,0.3287,0.7,70927.5,3.2,34.3,34.3,16.74,20.2,47165.5243,0.0637,0.000490873,0.07409,150.9,28.05,0.778,1.87E-02,1.53E+03,1.57E-05,5.65E-07
6,C2H4,0.26,0.2864,0.81,82073.3,3.46,32.9,32.3,13.28,21.7,47165.5243,0.0637,0.000490873,0.08011,163.2,28.05,0.905,1.87E-02,1.53E+03,1.35E-05,5.52E-07
7,C2H4,0.26,0.2864,1,101325,3.62,33.5,33.5,15.79,19.5,47165.5243,0.0637,0.000490873,0.08381,170.7,28.05,1.115,1.87E-02,1.53E+03,1.10E-05,4.53E-07
8,C2H4,0.3,0.3287,0.5,50662.5,3.53,34.5,32.9,11.72,25.5,47165.5243,0.0637,0.000490873,0.08173,166.5,28.05,0.556,1.87E-02,1.53E+03,2.20E-05,7.96E-07
9,50% C2H4,0.21,0.2329,1,101325,7.19,32,30.3,6.52,35.1,23599.486,0.12,0.000490873,0.08329,169.7,28.03,1.120,1.87E-02,1.53E+03,1.09E-05,6.07E-07
10,50% C2H4,0.26,0.2864,1,101325,7.4,33.4,31.5,8.9,28,23599.486,0.12,0.000490873,0.08572,174.6,28.03,1.114,1.87E-02,1.53E+03,1.10E-05,5.49E-07
11,50% C2H4,0.26,0.2864,0.81,82073.3,7.5,32.9,30.6,7.31,32.3,23599.486,0.12,0.000490873,0.08688,177.0,28.03,0.904,1.87E-02,1.53E+03,1.35E-05,6.74E-07
12,50% C2H4,0.21,0.2329,1,101325,9.24,30.7,28.9,5.81,41.9,23599.486,0.12,0.000490873,0.10704,218.1,28.03,1.124,1.87E-02,1.53E+03,1.09E-05,6.29E-07
13,50% C2H4,0.26,0.2864,0.81,82073.3,9.01,31.8,29.5,7.19,37.4,23599.486,0.12,0.000490873,0.10438,212.6,28.03,0.907,1.87E-02,1.53E+03,1.35E-05,6.76E-07
14,50% C2H4,0.3,0.3287,1,101325,6.89,35,31.5,13.31,25.7,23599.486,0.12,0.000490873,0.07982,162.6,28.03,1.109,1.87E-02,1.53E+03,1.10E-05,4.81E-07
15,50% C2H4,0.3,0.3287,0.7,70927.5,8.87,34.6,29.2,8.03,33.2,23599.486,0.12,0.000490873,0.10275,209.3,28.03,0.777,1.87E-02,1.53E+03,1.57E-05,7.22E-07
16,50% C2H4,0.21,0.2329,1,101325,11.68,32,28.7,4.96,44,23599.486,0.12,0.000490873,0.13531,275.6,28.03,1.120,1.87E-02,1.53E+03,1.09E-05,6.65E-07
17,C2H4,0.21,0.2329,1,101325,7.83,31.4,27.9,5.88,36.1,47165.5243,0.0637,0.000490873,0.18128,369.3,28.05,1.123,1.87E-02,1.53E+03,1.09E-05,6.27E-07
18,C2H4,0.21,0.2329,1,101325,15.51,34.4,30.9,5.55,78.3,47165.5243,0.0637,0.000490873,0.35909,731.5,28.05,1.112,1.87E-02,1.53E+03,1.10E-05,6.43E-07
