T_amb,RH,M,CBD,U_10,ROS
C,%,%,kg/m3,km/h,m/min
26,21,5,0.15,36,60
27,35,8,0.15,20,19.7
19.8,50,10,0.2,13,10.7
20,48,10,0.2,15,22.8
19.8,52,10,0.2,26,34.8
23.1,31,8,0.2,20,18
21.2,41,9,0.2,19,16
33,23,6,0.15,15,33.1
34,28,7,0.15,15,36.7
31.5,24,6,0.15,22,41.7
31.5,24,6,0.15,22,47.7
24.9,34,8,0.15,46,54.2
24.6,28,7,0.15,30,23.3
24.8,28,7,0.2,34,66.7
25,29,7,0.2,47,55
27.5,25,7,0.2,46,36.7
23,34,8,0.2,49,75
25,29,7,0.2,47,90
34.5,12,5,0.1,24,16.5
33.1,17,5,0.15,30,29.3
27.5,32,8,0.2,26,31.9
28.9,34,8,0.15,38,53.4
28.6,21,6,0.1,26,24.4
21.1,30,8,0.15,46,107
25.6,28,7,0.15,32,44.4
28,24,6,0.15,19,26.8
24.9,25,7,0.15,16,27.2
25.6,24,6,0.15,22,38.4
27.2,30,8,0.15,40,76.6
23.4,35,8,0.15,51,98.7
25.3,23,6,0.2,30,22.8
29.5,24,6,0.2,12,24.9
27,20,6,0.15,20,44.4
36,24,6,0.2,25,27.8
36,24,6,0.2,24,20.1
30.9,40,9,0.2,30,16.7
23,56,11,0.2,21,21
24.6,21,6,0.15,25,21.6
23.5,34,8,0.15,33,38.3
24.7,30,8,0.15,31,38.8
25,28,7,0.15,32,41.6
24.2,27,7,0.15,23,34.7
22.5,28,7,0.15,20,13.3
27.8,30,8,0.15,30,56
26.7,24,6,0.1,33,56.3
22.2,19,6,0.15,17,18.2
20.5,21,8,0.15,22,13.9
NaN,NaN,7,0.15,30,27.9
NaN,NaN,8,0.15,28,13.7
22,25,7,0.15,28,21.7
22,35,7,0.15,32,48.3
33,45,10,0.15,17,21.1
26,27,6,0.15,27,80.5
24,9,6,0.13,32,44.7
31,5,6,0.13,27,42.1
29,5,6,0.13,32,29.8
29,5,7,0.13,32,49.4
