Time,Data
s,deg C
0.0000,45.00
0.0004,40.76
0.0008,38.80
0.0012,34.66
0.0016,34.42
0.0021,33.25
0.0025,31.71
0.0029,32.10
0.0034,30.62
0.0039,29.98
0.0043,28.47
0.0048,28.33
0.0057,27.44
0.0062,27.44
0.0067,25.71
0.0072,25.99
