Time,Re60H30,Re150H30,Re60H0,Re150H0
s,K,K,K,K
0,0,0,0,0
1.25,1.17,1.86,-0.97,-0.69
2.5,1.92,2.60,-1.48,-1.28
3.75,2.36,2.99,-1.72,-1.72
5,2.61,3.14,-1.91,-1.93
6.25,2.78,3.27,-2,-2.1
7.5,2.86,3.26,-2.14,-2.22
8.75,2.91,3.32,-2.16,-2.32
10,2.95,3.31,-2.31,-2.4
11.25,2.97,3.29,-2.43,-2.39
12.5,2.99,3.31,-2.59,-2.42
13.75,3,3.27,-2.64,-2.45
15,2.99,3.29,-2.64,-2.44
16.25,3.01,3.32,-2.74,-2.46
17.5,2.98,3.33,-2.72,-2.45
18.75,3.04,3.31,-2.77,-2.46
20,3.05,3.30,-2.78,-2.47
21.25,3.03,3.33,-2.85,-2.47
22.5,3.01,3.36,-2.85,-2.47
23.75,3.01,3.33,-2.91,-2.46
25,3,3.36,-2.88,-2.5
26.25,3.05,3.35,-2.9,-2.47
27.5,3.02,3.40,-2.85,-2.44
28.75,3.04,3.38,-2.92,-2.45
30,3.04,3.40,-2.87,-2.44
