Time,U
s,m/s
5.8,3.1
16.9,2.91
19.8,2.84
23.9,2.81
30,2.67
34.9,2.61
43.7,2.44
49.9,2.34
59.8,2.17
63.7,2.1
67.7,2.05
71.5,1.97
77.7,1.87
84.5,1.76
91.6,1.61
96.7,1.51
101.4,1.42
108.7,1.28
117.6,1.07
121.7,0.98
125.7,0.88
128.6,0.81
