Time,T
s,deg C
0,15.4
5,15.0
10,14.9
15,14.9
20,15.0
25,15.1
30,15.3
35,15.6
40,15.5
45,15.7
50,16.2
55,16.5
60,16.7
65,17.3
70,18.0
75,18.3
80,19.1
