Time,d^2
s,mm^2
0,2.02
5,1.93
10,1.82
15,1.72
20,1.62
25,1.52
30,1.42
35,1.32
40,1.23
45,1.12
50,1.04
55,0.92
60,0.84
65,0.74
70,0.65
75,0.54
80,0.47
