Time,U
s,m/s
3.9,2.21
9.9,2.1
15.8,1.99
21.9,1.88
27.8,1.75
33.8,1.62
39.8,1.49
46.8,1.35
51.7,1.24
55.7,1.14
60.7,1.04
64.7,0.94
68.7,0.84
74.8,0.66
80.9,0.51

