Time,Data
s,deg C
0.0000,45.00
0.0008,35.42
0.0012,32.51
0.0016,30.65
0.0020,28.33
0.0024,25.93
0.0028,26.23
0.0032,26.07
0.0036,23.04
0.0041,21.95
0.0045,20.28
0.0049,18.89
0.0054,18.24
0.0058,18.16
0.0063,16.14
