r (m), T (C)
0.00,905.4
0.01,825.2
0.02,945.3
0.03,991.5
0.04,930.9
0.05,872.0
0.06,754.7
0.07,763.5
0.08,676.1
0.09,586.4
0.10,536.6
0.11,430.7
0.12,265.7
0.13,62.4
0.14,40.8
