r (cm),T (K)
0,950.6
1,1040.2
2,894.3
3,760.4
4,749.5
5,699.3
6,647.4
7,586.5
8,585.5
9,585.3
10,568.0
11,442.8
12,465.7
13,405.8
14,493.5
