z,Qrad_z,Stdev_z,r,Qrad_r,Stdev_r
0,0.89,0.03,0.161,3.33,0.56
0.1,1.05,0.04,0.19,2.4,0.37
0.2,1.06,0.04,0.219,2.05,0.25
0.3,0.98,0.04,0.23,2.05,0.11
0.4,0.88,0.04,0.3,1.19,0.07
0.5,0.77,0.03,0.388,0.72,0.04
0.6,0.55,0.01,0.472,0.47,0.03
0.7,0.48,0.02,0.565,0.32,0.02
0.8,0.37,0.02,0.662,0.24,0.01
0.9,0.27,0.01,0.757,0.18,0.01
1,0.2,0.04,1.5,0.04,0.01
1.1,0.14,0.03,NaN,NaN,NaN
1.2,0.07,0.01,NaN,NaN,NaN
