Position (m),Mean Cp,RMS Cp,Max Cp,Min Cp
 0.013, 0.506, 0.209, 1.717,-0.135
 0.037, 0.461, 0.202, 1.770,-0.371
 0.058, 0.593, 0.247, 1.996,-0.309
 0.077, 0.668, 0.270, 1.991,-0.256
 0.101, 0.731, 0.291, 2.379,-0.116
 0.116, 0.672, 0.288, 2.214,-0.173
 0.128, 0.270, 0.221, 1.657,-0.694
 0.132,-0.881, 0.385,-0.115,-4.015
 0.151,-0.906, 0.392, 0.019,-3.737
 0.170,-0.856, 0.354, 0.279,-3.051
 0.189,-0.790, 0.345, 0.394,-2.828
 0.208,-0.681, 0.333, 0.405,-2.690
 0.227,-0.558, 0.328, 0.479,-2.385
 0.246,-0.421, 0.314, 0.659,-2.178
 0.265,-0.321, 0.292, 0.729,-2.251
 0.284,-0.230, 0.261, 0.756,-1.920
 0.322,-0.090, 0.201, 0.727,-1.463
 0.361,-0.024, 0.158, 0.691,-1.352
 0.399,-0.011, 0.134, 0.728,-1.023
 0.437, 0.004, 0.114, 0.601,-0.959
 0.475, 0.008, 0.100, 0.564,-0.829
 0.510,-0.045, 0.072, 0.223,-0.486
 0.525,-0.039, 0.070, 0.246,-0.491
 0.541,-0.055, 0.069, 0.181,-0.512
 0.565,-0.054, 0.070, 0.176,-0.452
 0.583,-0.052, 0.072, 0.202,-0.417
 0.605,-0.040, 0.075, 0.218,-0.418
 0.629,-0.043, 0.075, 0.261,-0.442
