Position (m),Mean Cp,RMS Cp,Max Cp,Min Cp
 0.013, 0.558, 0.244, 1.859,-0.960
 0.037, 0.562, 0.255, 1.843,-0.801
 0.058, 0.640, 0.284, 1.923,-0.985
 0.077, 0.662, 0.292, 1.989,-0.926
 0.101, 0.710, 0.286, 2.083,-1.115
 0.116, 0.699, 0.271, 2.037,-0.571
 0.128, 0.559, 0.243, 1.720,-0.565
 0.132,-0.317, 0.543, 1.275,-3.270
 0.151, 0.229, 0.155, 1.019,-1.532
 0.170, 0.205, 0.162, 0.931,-1.204
 0.189, 0.110, 0.212, 0.858,-1.410
 0.208,-0.000, 0.228, 0.736,-1.473
 0.227,-0.065, 0.236, 0.680,-1.515
 0.246,-0.086, 0.232, 0.699,-1.392
 0.265,-0.141, 0.230, 0.698,-1.388
 0.284,-0.146, 0.225, 0.712,-1.338
 0.322,-0.162, 0.214, 0.671,-1.455
 0.361,-0.162, 0.207, 0.580,-1.331
 0.399,-0.193, 0.199, 0.533,-1.399
 0.437,-0.191, 0.185, 0.468,-1.446
 0.475,-0.185, 0.155, 0.396,-1.175
 0.510,-0.239, 0.105, 0.144,-0.891
 0.525,-0.231, 0.104, 0.118,-0.726
 0.541,-0.237, 0.102, 0.101,-0.727
 0.565,-0.253, 0.104, 0.082,-0.734
 0.583,-0.244, 0.103, 0.100,-0.731
 0.605,-0.249, 0.106, 0.120,-0.855
 0.629,-0.247, 0.106, 0.130,-0.795
