Position (m),Mean Cp,RMS Cp,Max Cp,Min Cp
 0.012, 0.873, 0.272, 2.363, 0.228
 0.037, 0.791, 0.246, 2.018, 0.160
 0.058, 0.805, 0.256, 2.117, 0.085
 0.076, 0.882, 0.277, 2.328, 0.112
 0.101, 0.941, 0.301, 2.412, 0.117
 0.116, 0.976, 0.313, 2.449, 0.174
 0.131, 0.967, 0.319, 2.547, 0.168
 0.146, 0.914, 0.317, 2.557, 0.073
 0.162, 0.778, 0.298, 2.351,-0.100
 0.177, 0.352, 0.226, 1.672,-0.598
 0.183,-0.832, 0.286,-0.156,-2.968
 0.202,-0.868, 0.300,-0.039,-3.289
 0.221,-0.886, 0.329, 0.198,-3.450
 0.240,-0.903, 0.349, 0.458,-3.473
 0.259,-0.824, 0.358, 0.629,-3.726
 0.278,-0.729, 0.357, 0.745,-3.083
 0.297,-0.592, 0.352, 0.707,-3.022
 0.316,-0.437, 0.334, 0.812,-2.895
 0.335,-0.335, 0.313, 0.881,-2.813
 0.373,-0.195, 0.260, 0.866,-3.007
 0.411,-0.115, 0.209, 0.690,-2.171
 0.449,-0.062, 0.174, 0.568,-1.720
 0.487,-0.037, 0.148, 0.611,-1.610
 0.525,-0.041, 0.126, 0.443,-1.154
 0.560,-0.050, 0.083, 0.278,-0.894
 0.566,-0.054, 0.071, 0.228,-0.496
 0.581,-0.054, 0.067, 0.183,-0.526
 0.597,-0.056, 0.063, 0.183,-0.514
 0.612,-0.065, 0.063, 0.163,-0.446
 0.627,-0.073, 0.060, 0.140,-0.411
 0.642,-0.083, 0.062, 0.139,-0.410
 0.667,-0.065, 0.067, 0.189,-0.364
 0.685,-0.071, 0.069, 0.200,-0.406
 0.706,-0.053, 0.071, 0.217,-0.391
 0.731,-0.037, 0.074, 0.289,-0.374
