Position (m),Mean Cp,RMS Cp,Max Cp,Min Cp
 0.012, 0.413, 0.168, 1.223,-0.007
 0.037, 0.378, 0.161, 1.174,-0.161
 0.058, 0.390, 0.170, 1.249,-0.063
 0.076, 0.420, 0.180, 1.363,-0.044
 0.101, 0.426, 0.193, 1.370,-0.061
 0.116, 0.447, 0.199, 1.468,-0.051
 0.131, 0.426, 0.203, 1.432,-0.095
 0.146, 0.393, 0.204, 1.390,-0.119
 0.162, 0.315, 0.201, 1.370,-0.254
 0.177, 0.078, 0.188, 1.057,-0.800
 0.183,-0.787, 0.350, 0.052,-3.637
 0.202,-0.709, 0.304, 0.015,-2.926
 0.221,-0.655, 0.264,-0.002,-2.394
 0.240,-0.689, 0.241, 0.009,-2.195
 0.259,-0.684, 0.224,-0.085,-2.027
 0.278,-0.697, 0.215,-0.115,-1.798
 0.297,-0.666, 0.205,-0.093,-1.723
 0.316,-0.627, 0.197,-0.077,-1.586
 0.335,-0.597, 0.187,-0.089,-1.578
 0.373,-0.550, 0.172,-0.068,-1.467
 0.411,-0.493, 0.159,-0.037,-1.474
 0.449,-0.447, 0.152, 0.006,-1.370
 0.487,-0.425, 0.163, 0.065,-1.363
 0.525,-0.497, 0.203,-0.003,-1.876
 0.560,-0.401, 0.146, 0.148,-1.153
 0.566,-0.314, 0.114, 0.064,-1.181
 0.581,-0.287, 0.108, 0.070,-0.792
 0.597,-0.274, 0.106, 0.083,-0.750
 0.612,-0.285, 0.106, 0.050,-0.740
 0.627,-0.297, 0.106, 0.018,-0.769
 0.642,-0.309, 0.107, 0.032,-0.890
 0.667,-0.280, 0.111, 0.047,-0.949
 0.685,-0.306, 0.113, 0.062,-1.006
 0.706,-0.290, 0.114, 0.060,-1.030
 0.731,-0.276, 0.113, 0.122,-1.123
