Position (m),Mean Cp,RMS Cp,Max Cp,Min Cp
 0.014, 0.779, 0.261, 2.200, 0.128
 0.039, 0.688, 0.235, 1.829, 0.052
 0.060, 0.754, 0.257, 2.140, 0.054
 0.078, 0.840, 0.282, 2.237, 0.076
 0.103, 0.913, 0.306, 2.325, 0.106
 0.118, 0.900, 0.306, 2.585, 0.105
 0.133, 0.779, 0.293, 2.434,-0.017
 0.148, 0.340, 0.219, 1.676,-0.513
 0.151,-0.825, 0.313,-0.078,-2.597
 0.170,-0.873, 0.333,-0.087,-3.231
 0.189,-0.892, 0.339,-0.007,-2.903
 0.208,-0.868, 0.329, 0.175,-2.858
 0.227,-0.747, 0.316, 0.401,-2.544
 0.246,-0.598, 0.306, 0.465,-2.070
 0.265,-0.465, 0.291, 0.687,-2.039
 0.284,-0.342, 0.270, 0.725,-1.632
 0.303,-0.228, 0.243, 0.727,-1.528
 0.341,-0.107, 0.183, 0.643,-1.295
 0.379,-0.026, 0.146, 0.706,-1.241
 0.418, 0.021, 0.118, 0.674,-0.977
 0.456, 0.031, 0.105, 0.589,-0.907
 0.494,-0.000, 0.090, 0.463,-0.734
 0.529,-0.030, 0.067, 0.277,-0.479
 0.531,-0.050, 0.066, 0.189,-0.522
 0.547,-0.061, 0.065, 0.173,-0.490
 0.562,-0.055, 0.066, 0.176,-0.445
 0.577,-0.064, 0.067, 0.162,-0.443
 0.601,-0.061, 0.069, 0.162,-0.484
 0.620,-0.077, 0.072, 0.158,-0.558
 0.641,-0.065, 0.074, 0.165,-0.625
 0.665,-0.056, 0.078, 0.200,-0.633
