Position (m),Mean Cp,RMS Cp,Max Cp,Min Cp
 0.014, 0.549, 0.209, 1.664,-0.286
 0.039, 0.499, 0.200, 1.528,-0.341
 0.060, 0.548, 0.214, 1.668,-0.376
 0.078, 0.584, 0.224, 1.705,-0.486
 0.103, 0.622, 0.236, 1.771,-0.007
 0.118, 0.647, 0.238, 1.777, 0.048
 0.133, 0.617, 0.238, 1.743,-0.041
 0.148, 0.493, 0.220, 1.720,-0.418
 0.151,-0.270, 0.367, 1.146,-2.133
 0.170, 0.074, 0.348, 0.855,-2.634
 0.189, 0.139, 0.113, 0.724,-0.855
 0.208, 0.091, 0.103, 0.619,-0.326
 0.227, 0.083, 0.098, 0.585,-0.256
 0.246, 0.077, 0.094, 0.546,-0.361
 0.265, 0.058, 0.093, 0.526,-0.382
 0.284, 0.019, 0.092, 0.527,-0.536
 0.303, 0.022, 0.092, 0.523,-0.563
 0.341,-0.015, 0.091, 0.485,-0.657
 0.379,-0.018, 0.090, 0.519,-0.614
 0.418,-0.011, 0.085, 0.449,-0.514
 0.456,-0.038, 0.084, 0.429,-0.567
 0.494,-0.116, 0.079, 0.337,-0.647
 0.529,-0.206, 0.095, 0.148,-0.653
 0.531,-0.252, 0.102, 0.105,-0.774
 0.547,-0.269, 0.103, 0.073,-0.762
 0.562,-0.253, 0.102, 0.088,-0.728
 0.577,-0.259, 0.103, 0.094,-0.754
 0.601,-0.257, 0.101, 0.060,-0.731
 0.620,-0.280, 0.104, 0.050,-0.761
 0.641,-0.265, 0.105, 0.060,-0.769
 0.665,-0.264, 0.106, 0.108,-0.791
