Position (m),Mean Cp,RMS Cp,Max Cp,Min Cp
 0.005,-0.648, 0.277, 0.069,-3.267
 0.024,-0.692, 0.308, 0.248,-3.103
 0.043,-0.726, 0.335, 0.556,-2.993
 0.062,-0.706, 0.346, 0.678,-3.248
 0.081,-0.628, 0.338, 0.724,-2.806
 0.100,-0.490, 0.331, 0.755,-2.312
 0.119,-0.380, 0.315, 0.696,-1.948
 0.138,-0.287, 0.295, 0.793,-1.699
 0.157,-0.216, 0.267, 0.756,-1.507
 0.195,-0.070, 0.211, 0.674,-1.614
 0.233,-0.031, 0.170, 0.714,-1.240
 0.271, 0.007, 0.134, 0.579,-1.074
 0.309, 0.001, 0.114, 0.602,-0.871
 0.347, 0.011, 0.098, 0.510,-0.842
 0.382,-0.044, 0.073, 0.246,-0.638
