Position (m),Mean Cp,RMS Cp,Max Cp,Min Cp
 0.002, 0.706, 0.386, 2.420,-1.198
 0.021, 0.738, 0.281, 2.107,-0.959
 0.040, 0.685, 0.251, 1.934,-0.420
 0.059, 0.653, 0.238, 1.783,-0.390
 0.078, 0.595, 0.226, 1.647,-0.085
 0.097, 0.590, 0.216, 1.629, 0.020
 0.116, 0.576, 0.209, 1.551, 0.073
 0.135, 0.538, 0.202, 1.484, 0.006
 0.154, 0.514, 0.198, 1.435,-0.015
 0.192, 0.499, 0.182, 1.312, 0.004
 0.230, 0.437, 0.179, 1.472,-0.088
 0.268, 0.390, 0.166, 1.309,-0.044
 0.306, 0.324, 0.155, 1.162,-0.147
 0.344, 0.237, 0.141, 1.104,-0.362
 0.379,-0.143, 0.101, 0.346,-0.619
