time,UTCTime,Temperature_C,MT_rad_kW_m_2,NAR_kW_m_2
343.7,18:37:39.7,15.82,0,0.87
343.8,18:37:39.8,16.68,0,0.87
343.9,18:37:39.9,17.53,0,0.87
344.0,18:37:40.0,17.53,0,0.87
344.1,18:37:40.1,16.68,0,0.87
344.2,18:37:40.2,16.68,0,0.87
344.3,18:37:40.3,17.53,0,0.81
344.4,18:37:40.4,17.53,0,0.81
344.5,18:37:40.5,17.53,0,0.87
344.6,18:37:40.6,17.53,0,0.87
344.7,18:37:40.7,15.82,0,0.87
344.8,18:37:40.8,15.82,0,0.87
344.9,18:37:40.9,15.82,0,0.81
345.0,18:37:41.0,15.82,0,0.94
345.1,18:37:41.1,15.82,0,0.87
345.2,18:37:41.2,15.82,0,0.94
345.3,18:37:41.3,15.82,0,0.94
345.4,18:37:41.4,15.82,0,0.87
345.5,18:37:41.5,15.82,0,0.87
345.6,18:37:41.6,14.97,0,0.87
345.7,18:37:41.7,16.68,0,0.87
345.8,18:37:41.8,17.53,0,0.87
345.9,18:37:41.9,15.82,0,0.87
346.0,18:37:42.0,15.82,0,0.87
346.1,18:37:42.1,15.82,0,0.87
346.2,18:37:42.2,15.82,0,0.87
346.3,18:37:42.3,15.82,0,0.87
346.4,18:37:42.4,15.82,0,0.87
346.5,18:37:42.5,15.82,0,0.87
346.6,18:37:42.6,15.82,0,0.87
346.7,18:37:42.7,15.82,0,0.87
346.8,18:37:42.8,15.82,0,0.81
346.9,18:37:42.9,15.82,0,0.81
347.0,18:37:43.0,15.82,0,0.81
347.1,18:37:43.1,15.82,0,0.81
347.2,18:37:43.2,15.82,0,0.81
347.3,18:37:43.3,16.68,0,0.81
347.4,18:37:43.4,15.82,0,0.81
347.5,18:37:43.5,15.82,0,0.81
347.6,18:37:43.6,16.68,0,0.81
347.7,18:37:43.7,17.53,0,0.87
347.8,18:37:43.8,16.68,0,0.81
347.9,18:37:43.9,16.68,0,0.87
348.0,18:37:44.0,17.53,0,0.81
348.1,18:37:44.1,17.53,0,0.87
348.2,18:37:44.2,17.53,0,0.87
348.3,18:37:44.3,17.53,0,0.81
348.4,18:37:44.4,17.53,0,0.81
348.5,18:37:44.5,15.82,0,0.81
348.6,18:37:44.6,15.82,0,0.81
348.7,18:37:44.7,15.82,0,0.81
348.8,18:37:44.8,17.53,0,0.81
348.9,18:37:44.9,17.53,0,0.87
349.0,18:37:45.0,17.53,0,0.81
349.1,18:37:45.1,17.53,0,0.81
349.2,18:37:45.2,16.68,0,0.81
349.3,18:37:45.3,17.53,0,0.81
349.4,18:37:45.4,17.53,0,0.81
349.5,18:37:45.5,15.82,0,0.81
349.6,18:37:45.6,16.68,0,0.81
349.7,18:37:45.7,16.68,0,0.81
349.8,18:37:45.8,17.53,0,0.81
349.9,18:37:45.9,17.53,0,0.81
350.0,18:37:46.0,16.68,0,0.81
350.1,18:37:46.1,15.82,0,0.81
350.2,18:37:46.2,15.82,0,0.81
350.3,18:37:46.3,15.82,0,0.81
350.4,18:37:46.4,17.53,0,0.81
350.5,18:37:46.5,15.82,0,0.81
350.6,18:37:46.6,15.82,0,0.81
350.7,18:37:46.7,15.82,0,0.81
350.8,18:37:46.8,15.82,0,0.81
350.9,18:37:46.9,15.82,0,0.81
351.0,18:37:47.0,15.82,0,0.81
351.1,18:37:47.1,15.82,0,0.81
351.2,18:37:47.2,16.68,0,0.81
351.3,18:37:47.3,16.68,0,0.81
351.4,18:37:47.4,15.82,0,0.81
351.5,18:37:47.5,15.82,0,0.81
351.6,18:37:47.6,17.53,0,0.75
351.7,18:37:47.7,16.68,0,0.81
351.8,18:37:47.8,15.82,0,0.81
351.9,18:37:47.9,16.68,0,0.81
352.0,18:37:48.0,17.53,0,0.81
352.1,18:37:48.1,16.68,0,0.81
352.2,18:37:48.2,16.68,0,0.81
352.3,18:37:48.3,17.53,0,0.81
352.4,18:37:48.4,17.53,0,0.75
352.5,18:37:48.5,16.68,0,0.81
352.6,18:37:48.6,17.53,0,0.81
352.7,18:37:48.7,16.68,0,0.81
352.8,18:37:48.8,16.68,0,0.81
352.9,18:37:48.9,17.53,0,0.81
353.0,18:37:49.0,17.53,0,0.81
353.1,18:37:49.1,17.53,0,0.81
353.2,18:37:49.2,17.53,0,0.81
353.3,18:37:49.3,17.53,0,0.81
353.4,18:37:49.4,17.53,0,0.81
353.5,18:37:49.5,17.53,0,0.81
353.6,18:37:49.6,17.53,0,0.75
353.7,18:37:49.7,15.82,0,0.81
353.8,18:37:49.8,17.53,0,0.75
353.9,18:37:49.9,17.53,0,0.81
354.0,18:37:50.0,15.82,0,0.81
354.1,18:37:50.1,16.68,0,0.81
354.2,18:37:50.2,16.68,0,0.81
354.3,18:37:50.3,16.68,0,0.81
354.4,18:37:50.4,17.53,0,0.81
354.5,18:37:50.5,17.53,0,0.81
354.6,18:37:50.6,17.53,0,0.81
354.7,18:37:50.7,16.68,0,0.81
354.8,18:37:50.8,16.68,0,0.81
354.9,18:37:50.9,16.68,0,0.81
355.0,18:37:51.0,16.68,0,0.81
355.1,18:37:51.1,16.68,0,0.81
355.2,18:37:51.2,16.68,0,0.81
355.3,18:37:51.3,17.53,0,0.75
355.4,18:37:51.4,17.53,0,0.81
355.5,18:37:51.5,17.53,0,0.81
355.6,18:37:51.6,16.7,0,0.75
355.7,18:37:51.7,17.53,0,0.81
355.8,18:37:51.8,17.53,0,0.81
355.9,18:37:51.9,17.53,0,0.75
356.0,18:37:52.0,17.53,0,0.81
356.1,18:37:52.1,17.53,0,0.81
356.2,18:37:52.2,17.53,0,0.75
356.3,18:37:52.3,17.53,0,0.81
356.4,18:37:52.4,18.38,0,0.75
356.5,18:37:52.5,17.53,0,0.81
356.6,18:37:52.6,17.53,0,0.81
356.7,18:37:52.7,17.53,0,0.81
356.8,18:37:52.8,17.53,0,0.81
356.9,18:37:52.9,17.53,0,0.81
357.0,18:37:53.0,17.53,0,0.81
357.1,18:37:53.1,17.53,0,0.81
357.2,18:37:53.2,15.82,0,0.81
357.3,18:37:53.3,16.68,0,0.87
357.4,18:37:53.4,15.85,0,0.81
357.5,18:37:53.5,14.97,0,0.81
357.6,18:37:53.6,16.68,0,0.81
357.7,18:37:53.7,15.82,0,0.81
357.8,18:37:53.8,16.68,0,0.81
357.9,18:37:53.9,15.85,0,0.81
358.0,18:37:54.0,14.14,0,0.81
358.1,18:37:54.1,14.12,0,0.81
358.2,18:37:54.2,14.14,0,0.81
358.3,18:37:54.3,14.14,0,0.81
358.4,18:37:54.4,14.12,0,0.81
358.5,18:37:54.5,14.12,0,0.81
358.6,18:37:54.6,15.0,0,0.81
358.7,18:37:54.7,15.85,0,0.81
358.8,18:37:54.8,15.82,0,0.81
358.9,18:37:54.9,15.85,0,0.81
359.0,18:37:55.0,14.97,0,0.81
359.1,18:37:55.1,15.82,0,0.81
359.2,18:37:55.2,15.85,0,0.81
359.3,18:37:55.3,15.82,0,0.81
359.4,18:37:55.4,15.82,0,0.81
359.5,18:37:55.5,15.82,0,0.81
359.6,18:37:55.6,15.82,0,0.81
359.7,18:37:55.7,15.82,0,0.81
359.8,18:37:55.8,16.68,0,0.81
359.9,18:37:55.9,16.7,0,0.81
360.0,18:37:56.0,16.68,0,0.81
360.1,18:37:56.1,17.55,0,0.75
360.2,18:37:56.2,17.55,0,0.81
360.3,18:37:56.3,17.53,0,0.75
360.4,18:37:56.4,17.53,0,0.81
360.5,18:37:56.5,16.68,0,0.75
360.6,18:37:56.6,15.82,0,0.75
360.7,18:37:56.7,15.82,0,0.75
360.8,18:37:56.8,16.68,0,0.81
360.9,18:37:56.9,17.55,0,0.75
361.0,18:37:57.0,15.82,0,0.81
361.1,18:37:57.1,15.82,0,0.81
361.2,18:37:57.2,15.82,0,0.81
361.3,18:37:57.3,16.68,0,0.75
361.4,18:37:57.4,15.85,0,0.81
361.5,18:37:57.5,15.85,0,0.81
361.6,18:37:57.6,14.12,0,0.81
361.7,18:37:57.7,15.0,0,0.75
361.8,18:37:57.8,15.82,0,0.75
361.9,18:37:57.9,15.85,0,0.75
362.0,18:37:58.0,14.97,0,0.75
362.1,18:37:58.1,15.0,0,0.75
362.2,18:37:58.2,14.97,0,0.75
362.3,18:37:58.3,15.82,0,0.75
362.4,18:37:58.4,15.85,0,0.75
362.5,18:37:58.5,15.0,0,0.75
362.6,18:37:58.6,15.0,0,0.75
362.7,18:37:58.7,15.82,0,0.75
362.8,18:37:58.8,14.12,0,0.75
362.9,18:37:58.9,14.14,0,0.75
363.0,18:37:59.0,15.0,0,0.75
363.1,18:37:59.1,15.0,0,0.75
363.2,18:37:59.2,15.0,0,0.75
363.3,18:37:59.3,14.97,0,0.75
363.4,18:37:59.4,15.0,0,0.75
363.5,18:37:59.5,15.82,0,0.81
363.6,18:37:59.6,15.85,0,0.81
363.7,18:37:59.7,15.85,0,0.75
363.8,18:37:59.8,15.85,0,0.75
363.9,18:37:59.9,15.85,0,0.81
364.0,18:38:00.0,15.85,0,0.75
364.1,18:38:00.1,15.85,0,0.81
364.2,18:38:00.2,15.85,0,0.81
364.3,18:38:00.3,15.85,0,0.75
364.4,18:38:00.4,16.7,0,0.75
364.5,18:38:00.5,15.85,0,0.81
364.6,18:38:00.6,15.82,0,0.81
364.7,18:38:00.7,15.85,0,0.81
364.8,18:38:00.8,15.85,0,0.81
364.9,18:38:00.9,15.85,0,0.81
365.0,18:38:01.0,15.85,0,0.81
365.1,18:38:01.1,15.85,0,0.81
365.2,18:38:01.2,15.85,0,0.75
365.3,18:38:01.3,16.7,0,0.81
365.4,18:38:01.4,15.85,0,0.75
365.5,18:38:01.5,15.85,0,0.81
365.6,18:38:01.6,15.85,0,0.81
365.7,18:38:01.7,15.0,0,0.81
365.8,18:38:01.8,14.14,0,0.81
365.9,18:38:01.9,15.0,0,0.81
366.0,18:38:02.0,15.85,0,0.81
366.1,18:38:02.1,15.0,0,0.81
366.2,18:38:02.2,15.85,0,0.81
366.3,18:38:02.3,15.85,0,0.81
366.4,18:38:02.4,15.0,0,0.81
366.5,18:38:02.5,15.85,0,0.81
366.6,18:38:02.6,15.85,0,0.81
366.7,18:38:02.7,15.85,0,0.81
366.8,18:38:02.8,16.7,0,0.81
366.9,18:38:02.9,15.85,0,0.81
367.0,18:38:03.0,16.7,0,0.81
367.1,18:38:03.1,15.85,0,0.81
367.2,18:38:03.2,16.7,0,0.75
367.3,18:38:03.3,17.55,0,0.81
367.4,18:38:03.4,15.85,0,0.81
367.5,18:38:03.5,16.7,0,0.81
367.6,18:38:03.6,16.7,0,0.81
367.7,18:38:03.7,16.7,0,0.81
367.8,18:38:03.8,15.85,0,0.81
367.9,18:38:03.9,15.85,0,0.75
368.0,18:38:04.0,15.85,0,0.81
368.1,18:38:04.1,15.85,0,0.81
368.2,18:38:04.2,15.85,0,0.81
368.3,18:38:04.3,15.85,0,0.81
368.4,18:38:04.4,15.85,0,0.81
