DZ,DIR    ,UPWASH,SPEED,SIGMu,SIGMv,SIGMw,uv   ,uw    ,vw
m ,deg    ,deg   ,m/s  ,m/s  ,m/s  ,m/s  ,m/s2 ,m/s2  ,m/s2
6 ,198.653,1.627 ,7.867,1.351,0.931,0.394,0.084,-0.197,-0.021
10,199.698,1.221 ,8.424,1.35 ,0.955,0.453,0.118,-0.233,-0.011
20,202.792,2.417 ,8.834,1.276,0.947,0.547,0.183,-0.235,-0.036
31,199.424,-2.18 ,10.34,1.28 ,0.947,0.588,0.121,-0.332,-0.053
