ASW-ANE Distance from HT (m),Direction (degrees)
-99.8517,205.928
-83.9430,202.055
-60.1124,199.680
-48.7321,192.292
-32.3411,194.953
-18.4651,199.514
-9.40232,207.431
0.127998,202.825
9.92880,205.973
19.6304,193.942
39.3489,184.504
