ASW-ANE Distance from HT (m),Amplification
-100.000,1.0
-83.8686,0.923777
-59.6962,0.912075
-48.7404,0.797952
-32.2420,0.849102
-18.2836,1.23462
-9.50083,1.58314
0.0485700,1.92271
10.0151,1.43039
19.7829,0.632789
39.4762,0.334008
