m,deg,deg,m/s,
DIST,DIRECTION,DIF,SPEED,FSPUP
0,220,14,15.59,0.557
-10,213,7,14.48,0.447
-20,214,8,11.81,0.179
-30,207,1,9.68,-0.033
-50,209,3,7.7,-0.231
