ASW-ANE Distance from HT (m),v rms (m/s)
-100.034,0.661347
-84.2129,0.867667
-49.3226,0.706297
-32.6824,1.07641
-18.6476,1.20543
-9.67593,1.35719
-0.155097,1.12573
10.0911,1.11344
19.5502,1.80112
39.1434,2.09337
