ASW-ANE Distance from HT (m),u rms (m/s)
-100.281,1.32359
-84.3219,1.24862
-60.4837,1.35876
-49.5490,1.43941
-32.7888,1.46623
-18.8427,1.29183
-9.73423,1.15786
0.0633778,1.11906
9.73831,1.79120
19.7360,2.81325
38.9702,2.25507
