m,deg,deg,m/s,m/s,none,m/s,none,m/s,none,m/s,none,m/s2,m/s2,m/s2,m/s,deg
DZ,DIRECTION,DIF,SPEED,AVGw,FSPUP,SIGMu,INTu,SIGMv,INTv,SIGMw,INTw,uv,uw,vw,SIGM_SPEED,UPWASH
5,217,11,15.99,1.08,,1.357,0.0849,1.064,0.0664,0.363,0.0227,0.061,-0.177,0.033,1.7622,3.8728
10,213,7,16.45,1.49,0.644,1.119,0.068,1.057,0.0641,0.557,0.0338,0.125,-0.161,0.056,1.637,5.1968
16,211,5,16.92,0.85,,1.119,0.0661,1.007,0.0594,0.685,0.0405,0.14,-0.199,0.058,1.6539,2.8795
