m,m/s,m/s
DIST,SPEED,NORM_SPEED
-20,17.85,1.7
-10,18.5955,1.771
0,19.341,1.842
10,18.1545,1.729
20,17.85,1.7
30,15.4665,1.473
40,15.9075,1.515
40,16.59,1.58
50,16.8945,1.609
60,16.9995,1.619
70,15.7395,1.499
80,14.7945,1.409
90,14.2485,1.357
100,12.8625,1.225
110,12.621,1.202
150,10.689,1.018
170,10.92,1.04
