m,deg,deg,m/s,m/s,none,m/s,none,m/s,none,m/s,none,m/s2,m/s2,m/s2,m/s,deg
DIST,DIRECTION,DIF,SPEED,AVGw,FSPUP,SIGMu,INTu,SIGMv,INTv,SIGMw,INTw,uv,uw,vw,SIGM_SPEED,UPWASH
-10,212,6,14.88,2.57,0.486,1.141,0.0766,1.18,0.0792,0.631,0.0424,0.088,-0.204,0.034,1.7585,9.9457
-30,206,0,9.68,2.49,-0.033,1.254,0.1295,1.208,0.1247,0.684,0.0706,-0.056,-0.412,0.029,1.8707,14.9058
-50,201,-5,6.65,0.57,-0.336,1.525,0.2298,1.011,0.152,0.593,0.0894,-0.243,-0.463,0.055,1.9234,4.9171
