ASW-ANE Distance from HT (m),uw (m2/s2)
-100.150,-0.254903
-84.3609,-0.263788
-60.9177,-0.227996
-49.4123,-0.353530
-32.7986,-0.441923
-18.6096,-0.373451
-9.71667,-0.296865
-0.327393,-0.146386
9.96305,-0.271830
19.6458,-0.622330
39.1742,-0.802522
