ASW-ANE Distance from HT (m),w rms (m/s)
-84.2135,0.488941
-60.4174,0.455123
-49.5987,0.515859
-32.8113,0.635688
-18.8173,0.625176
-9.76590,0.672832
0.0265334,0.616306
10.2637,0.573016
19.6398,0.977212
39.0320,1.33593
