m,m/s,m/s
DIST,SPEED,NORM_SPEED
-80,10.573,1.007
-70,9.47048,0.90195
-60,8.78693,0.83685
-50,7.59622,0.72345
-40,8.0703,0.7686
-30,10.3966,0.99015
-20,12.5134,1.1918
-15,15.4571,1.4721
-10,15.3799,1.4647
0,16.747,1.595
0,17.4195,1.659
10,17.6731,1.6831
20,10.1099,0.96285
30,8.50027,0.80955
40,5.7771,0.5502
50,6.24015,0.5943
60,7.81672,0.74445
