m,deg,deg,m/s,m/s,none,m/s,none,m/s,none,m2/s2,m2/s2,m2/s2,m/s
DIST,DIRECTION,UPWASH,SPEED,SIGMu,INTu,SIGMv,INTv,SIGMw,INTw,uv,uw,vw,SIGM_SPEED
-100,205.9,2.7,9.3,1.325,0.142,0.665,0.071,0.432,0.046,0.307,-0.255,-0.023,1.5442
-85,202.1,3.7,8.6,1.25,0.145,0.867,0.101,0.491,0.057,-0.012,0.263,0.047,1.5985
-60,199.698,1.221,8.424,1.35,0.16,0.955,0.118,0.453,0.516,-0.118,-0.233,-0.011,1.7146
-50,192.4,2.9,7.4,1.44,0.194,0.706,0.095,0.516,0.07,0.067,-0.353,0.002,1.6847
-35,195,11.2,7.9,1.465,0.185,1.08,0.137,0.637,0.081,0.283,-0.442,-0.037,1.9283
-20,199.6,15.9,11.5,1.29,0.112,1.205,0.105,0.623,0.054,0.066,-0.373,0.013,1.872
-10,207.4,14.9,14.7,1.155,0.079,1.36,0.093,0.669,0.046,0.031,0.296,-0.056,1.9056
0,203,2.09,17.9,1.12,0.062,1.115,0.062,0.615,0.034,0.182,-0.145,0.032,1.6958
10,206,-10.7,13.3,1.79,0.135,1.11,0.084,0.575,0.043,0.08,-0.271,0.078,2.1833
20,194,-12.4,5.9,2.82,0.479,1.8,0.306,0.975,0.166,-1.847,-0.623,0.267,3.4847
40,184.6,-7.3,3.1,2.26,0.74,2.095,0.692,1.335,0.44,-0.412,-0.8,0.342,3.3584
