m,kW/m2,kW/m2,m,kW/m2,kW/m2,m,kW/m2,kW/m2,m,kW/m2,kW/m2,m,kW/m2,kW/m2,m,kW/m2,kW/m2,m,kW/m2,kW/m2,m,kW/m2,kW/m2
r_0,HF_p1_0,HF_p2_0,r_33,HF_p1_33,HF_p2_33,r_61,HF_p1_61,HF_p2_61,r_90,HF_p1_90,HF_p2_90,r_120,HF_p1_120,HF_p2_120,r_225,HF_p1_225,HF_p2_225,r_270,HF_p1_270,HF_p2_270,r_315,HF_p1_315,HF_p2_315
70.0,10.6,6.0,87.5,6.7,5.7,105.0,5.0,3.6,105.0,5.2,3.5,105.0,5.5,3.7,104.9,NaN,NaN,70.0,20.3,39.9,104.9,6.0,NaN
105.0,5.8,5.7,105.0,4.9,4.0,140.0,3.0,2.3,122.5,4.0,2.6,140.0,4.1,2.9,140.0,7.1,6.5,87.5,14.8,26.3,140.0,4.1,4.7
140.0,3.3,3.3,140.0,3.0,2.5,175.0,2.1,1.6,140.0,3.2,2.2,175.0,2.2,1.6,174.9,3.2,3.0,105.0,NaN,NaN,174.9,2.5,2.8
157.5,2.2,2.2,210.0,1.3,1.1,227.5,1.0,0.8,157.5,2.6,1.8,227.5,1.0,0.8,210.0,0.6,0.2,122.5,6.3,NaN,210.0,0.9,1.0
175.0,1.6,1.3,NaN,NaN,NaN,NaN,NaN,NaN,175.0,2.1,1.5,NaN,NaN,NaN,NaN,NaN,NaN,140.0,4.8,6.3,NaN,NaN,NaN
210.0,1.6,1.6,NaN,NaN,NaN,NaN,NaN,NaN,210.0,1.6,1.1,NaN,NaN,NaN,NaN,NaN,NaN,175.0,2.8,3.3,NaN,NaN,NaN
224.5,1.3,1.3,NaN,NaN,NaN,NaN,NaN,NaN,245.0,1.2,0.9,NaN,NaN,NaN,NaN,NaN,NaN,210.0,0.9,1.1,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,275.0,0.6,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
