m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2
r_0,HF_p1_0,HF_p2_0,HF_p3_0,r_33,HF_p1_33,HF_p2_33,HF_p3_33,r_61,HF_p1_61,HF_p2_61,HF_p3_61,r_90,HF_p1_90,HF_p2_90,HF_p3_90,r_120,HF_p1_120,HF_p2_120,HF_p3_120,r_225,HF_p1_225,HF_p2_225,HF_p3_225,r_270,HF_p1_270,HF_p2_270,HF_p3_270,r_315,HF_p1_315,HF_p2_315,HF_p3_315
52.5,14.6,14.8,14.7,70.0,8.4,8.0,7.8,105.0,4.6,4.1,4.0,105.0,9.1,8.0,7.8,105.0,5.0,4.5,4.5,104.9,10.0,10.2,10.6,70.0,26.7,29.3,30.5,104.9,6.2,6.4,6.6
70.0,10.2,10.1,10.1,105.0,4.9,4.6,4.5,140.0,NaN,NaN,NaN,122.5,4.8,4.2,4.1,140.0,3.1,2.8,2.7,140.0,5.0,5.0,5.1,87.5,16.7,17.8,28.4,140.0,4.2,4.1,4.1
105.0,5.2,5.3,5.3,140.0,2.9,2.8,2.7,175.0,2.0,1.8,1.7,140.0,3.1,2.7,2.7,175.0,2.1,1.9,1.9,174.9,1.2,3.1,3.2,105.0,NaN,NaN,NaN,174.9,2.4,2.5,2.6
140.0,3.1,3.1,3.2,175.0,2.1,1.9,1.9,210.0,1.1,1.0,1.0,157.5,2.7,2.4,2.3,210.0,1.3,1.2,1.2,210.0,1.0,0.9,0.9,122.5,NaN,7.0,7.0,210.0,1.0,1.1,1.1
157.5,2.4,2.5,2.5,210.0,1.2,1.2,1.2,227.5,1.0,0.9,0.9,175.0,2.1,1.9,1.8,227.5,1.0,0.9,0.9,NaN,NaN,NaN,NaN,140.0,5.8,5.9,6.4,NaN,NaN,NaN,NaN
175.0,2.5,2.4,2.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,210.0,1.5,1.3,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,175.0,3.3,3.4,3.5,NaN,NaN,NaN,NaN
210.0,1.4,1.2,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,245.0,1.3,1.2,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,210.0,1.2,1.3,1.3,NaN,NaN,NaN,NaN
224.5,1.3,1.3,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,275.0,0.6,0.5,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
