m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
r_0,HF_p1_0,HF_p2_0,HF_p3_0,HF_p4_0,r_33,HF_p1_33,HF_p2_33,HF_p3_33,HF_p4_33,r_61,HF_p1_61,HF_p2_61,HF_p3_61,HF_p4_61,r_90,HF_p1_90,HF_p2_90,HF_p3_90,HF_p4_90,r_120,HF_p1_120,HF_p2_120,HF_p3_120,HF_p4_120,r_225,HF_p1_225,HF_p2_225,HF_p3_225,HF_p4_225,r_270,HF_p1_270,HF_p2_270,HF_p3_270,HF_p4_270,r_315,HF_p1_315,HF_p2_315,HF_p3_315,HF_p4_315
52.5,17.3,16.0,18.1,18.9,70.0,17.5,16.7,18.4,18.4,105.0,12.6,11.5,13.5,13.9,105.0,15.1,14.8,15.3,14.7,105.0,11.5,10.4,10.2,10.0,104.9,3.7,3.1,3.1,3.0,70.0,5.9,5.1,5.5,5.6,104.9,3.6,3.2,3.7,3.9
70.0,12.5,11.3,12.7,13.1,105.0,8.4,7.8,8.5,8.3,140.0,5.2,4.5,5.2,5.4,122.5,10.3,9.6,10.3,10.1,140.0,5.3,4.8,4.9,5.0,140.0,2.8,2.2,2.3,2.2,87.5,4.2,3.6,3.9,4.0,140.0,2.5,2.2,2.6,2.8
105.0,6.7,6.1,7.0,7.1,140.0,4.7,4.4,4.9,4.6,175.0,3.3,2.9,3.3,3.4,140.0,7.5,6.6,7.4,7.4,175.0,3.0,2.6,2.8,3.1,174.9,1.8,1.5,1.4,1.4,105.0,2.8,2.5,2.7,2.7,174.9,1.6,1.5,1.7,1.8
140.0,3.8,3.5,3.9,4.0,175.0,2.8,2.5,2.8,2.9,210.0,2.1,1.8,2.0,2.1,157.5,NaN,NaN,NaN,NaN,210.0,1.6,1.4,1.5,1.7,210.0,0.5,0.3,0.3,0.3,122.5,2.4,2.2,2.3,2.3,210.0,0.8,0.7,0.9,0.9
157.5,3.0,2.8,3.2,3.0,210.0,1.6,1.4,1.5,1.5,227.5,1.4,1.2,1.3,1.4,175.0,3.2,2.7,3.1,3.3,227.5,1.2,1.0,1.1,1.3,NaN,NaN,NaN,NaN,NaN,140.0,1.8,1.2,1.6,2.1,NaN,NaN,NaN,NaN,NaN
175.0,1.8,1.7,1.9,1.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,210.0,2.1,1.7,2.1,2.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,175.0,1.3,1.1,1.2,1.2,NaN,NaN,NaN,NaN,NaN
210.0,2.1,1.9,2.1,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,245.0,,0.9,1.2,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,210.0,0.3,0.2,0.3,0.3,NaN,NaN,NaN,NaN,NaN
224.5,1.2,1.1,1.2,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,275.0,0.6,0.4,0.6,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
