Test,dD2dt
1,1.75E-08
2,2.44E-08
3,2.96E-08
4,3.09E-08
5,3.40E-08
6,3.99E-08
7,2.12E-08
8,2.35E-08
9,3.26E-08
10,3.74E-08
11,4.20E-08
12,4.62E-08
13,5.38E-08
