Test,dD2dt
1,5.24E-09
2,5.95E-09
3,5.56E-09
4,5.19E-09
5,4.73E-09
6,4.28E-09
7,3.93E-09
8,3.70E-09
9,3.66E-09
10,3.03E-09
11,2.52E-09
12,2.46E-09
13,2.24E-09
14,1.97E-09
15,6.14E-09
16,6.16E-09
17,5.79E-09
18,6.58E-09
19,1.39E-09
