Time,2p5_100a1,2p5_100a2,2p5_100a3,2p5_100a4,2p5_100b1,2p5_100b2,2p5_100b3,2p5_100b4,2p5_100c1,2p5_100c2,2p5_100c3,2p5_100c4,2p5_100d1,2p5_100d2,2p5_100d3,2p5_100d4,5p0_100a1,5p0_100a2,5p0_100a3,5p0_100a4,5p0_100b1,5p0_100b2,5p0_100b3,5p0_100b4,5p0_100c1,5p0_100c2,5p0_100c3,5p0_100c4,5p0_100d1,5p0_100d2,5p0_100d3,5p0_100d4,10p0_100a1,10p0_100a2,10p0_100a3,10p0_100a4,10p0_100b1,10p0_100b2,10p0_100b3,10p0_100b4,10p0_100c1,10p0_100c2,10p0_100c3,10p0_100c4,2p5_200a1,2p5_200a2,2p5_200a3,2p5_200a4,2p5_200b1,2p5_200b2,2p5_200b3,2p5_200b4,2p5_200c1,2p5_200c2,2p5_200c3,2p5_200c4,2p5_200d1,2p5_200d2,2p5_200d3,2p5_200d4,5p0_200a1,5p0_200a2,5p0_200a3,5p0_200a4,5p0_200b1,5p0_200b2,5p0_200b3,5p0_200b4,5p0_200c1,5p0_200c2,5p0_200c3,5p0_200c4,5p0_200d1,5p0_200d2,5p0_200d3,5p0_200d4,10p0_200a1,10p0_200a2,10p0_200a3,10p0_200a4,10p0_200b1,10p0_200b2,10p0_200b3,10p0_200b4,10p0_200c1,10p0_200c2,10p0_200c3,10p0_200c4
0,0.04,0.05,0.047,0.047,0.048,0.045,0.054,0.048,0.049,0.049,0.043,0.022,0.039,0.039,0.029,0.034,0.049,0.053,0.043,0.038,0.05,0.046,0.047,0.054,0.047,0.056,0.046,0.042,0.04,0.05,0.047,0.047,0.042,0.038,0.036,0.038,0.041,0.028,0.037,0.041,0.054,0.043,0.041,0.042,0.076,0.093,0.106,0.092,0.093,0.116,0.11,0.099,0.076,0.084,0.103,0.103,0.096,0.108,0.102,0.093,0.098,0.109,0.086,0.113,0.1,0.109,0.117,0.105,0.094,0.114,0.113,0.101,0.107,0.091,0.114,0.098,0.062,0.089,0.096,0.088,0.07,0.082,0.088,0.082,0.079,0.05,0.095,0.074
30,0.04,0.05,0.047,0.047,0.048,0.045,0.054,0.048,0.049,0.049,0.043,0.022,0.039,0.039,0.029,0.034,0.049,0.053,0.043,0.038,0.05,0.046,0.047,0.054,0.047,0.056,0.046,0.042,0.04,0.05,0.047,0.047,0.042,0.038,0.036,0.038,0.041,0.028,0.037,0.041,0.054,0.043,0.041,0.042,0.076,0.093,0.106,0.092,0.093,0.116,0.11,0.099,0.076,0.084,0.103,0.103,0.096,0.108,0.102,0.093,0.098,0.109,0.086,0.113,0.1,0.109,0.117,0.105,0.094,0.114,0.113,0.101,0.107,0.091,0.114,0.098,0.062,0.089,0.096,0.088,0.07,0.082,0.088,0.082,0.079,0.05,0.095,0.074
