Position_cm,ave_X_CO2,ave_X_H2,ave_X_H2O,ave_X_Ar,ave_X_O2,ave_X_Propane,ave_X_Methanol,ave_X_N2,ave_X_Ethanol,ave_X_CH4,ave_X_Acetone,ave_X_CO,ave_X_Acetylene,ave_X_Ethylene_1,ave_X_Benzene,ave_X_Ethane,ave_x_Ethylene_2,ave_X_HC,ave_Y_Soot
2,0.0433,0.0289,0.1617,0.0046,0.0169,0,0,0.419,0.2035,0.0095,0,0.0452,0.0248,0,0.0325,0.0007,0.0094,0.2804,0.0001533
4,0.0475,0.0339,0.1659,0.0053,0.02,0,0,0.4892,0.1123,0.0043,0,0.0506,0.0235,0,0.0371,0.0006,0.0099,0.1877,0.00016625
6,0.0519,0.0308,0.1748,0.0059,0.0238,0,0,0.5403,0.0471,0.0075,0,0.0514,0.0223,0,0.0345,0.0005,0.0091,0.1211,0.000213389
10,0.0506,0.0227,0.1732,0.0065,0.0387,0,0,0.5907,0.0308,0.0027,0,0.0394,0.0133,0,0.0251,0.0003,0.006,0.0782,0.000223453
14,0.0455,0.018,0.1486,0.007,0.0564,0,0,0.6403,0.0239,0.0016,0,0.0323,0.0088,0,0.0131,0.0003,0.0043,0.0518,0.000263879
20,0.0365,0.0058,0.1084,0.0078,0.1024,0,0,0.7123,0.0084,0.0002,0,0.0133,0.0035,0,0,0.0001,0.0014,0.0136,0.000173255
30,0.0332,0.0023,0.0939,0.008,0.1202,0,0,0.732,0.0028,0,0,0.0057,0.0015,0,0,0,0.0004,0.0047,8.31468E-05
45,0.0202,0,0.0852,0.008,0.1497,0,0,0.7361,0,0,0,0.0006,0,0,0,0,0.0002,0.0002,7.76743E-05
60,0.0121,0,0.0811,0.008,0.1655,0,0,0.7333,0,0,0,0,0,0,0,0,0,0,3.07899E-05
