Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC,Temperature_K,U_Temperature_K
  2,0.0590,0.0026,0.01477,0.00082,0.0616,0.0119,0.0028,0.0001,0.00026,0.00001,0.0000,0.0000,0.0000,0.0000,0.2662,0.0116,0.0722,0.0253,0.025621,0.001654,0.39898,0.03303,0.059389,0.002622,0.028376,0.001143,0.00069,0.00032,0.004013,0.000232,0.00614,0.00039,0.0006,0.0003,0.52991,0.06164, 719.5,187.7
  4,0.0707,0.0028,0.01944,0.00102,0.0633,0.0124,0.0035,0.0002,0.00019,0.00001,0.0000,0.0000,0.0000,0.0000,0.3298,0.0129,0.0141,0.0211,0.032971,0.002032,0.34451,0.02775,0.074437,0.002960,0.032986,0.001168,0.00111,0.00051,0.005077,0.000277,0.00781,0.00047,0.0013,0.0004,0.43080,0.05288, 836.8,269.5
  6,0.0811,0.0030,0.02173,0.00109,0.0676,0.0130,0.0043,0.0002,0.00038,0.00001,0.0000,0.0000,0.0000,0.0000,0.3956,0.0144,0.0138,0.0229,0.038788,0.002323,0.23588,0.01888,0.086847,0.003211,0.038162,0.001231,0.00134,0.00062,0.005202,0.000273,0.00915,0.00053,0.0026,0.0002,0.33318,0.04623, 923.2,291.6
 10,0.0901,0.0032,0.02403,0.00118,0.0767,0.0147,0.0052,0.0002,0.00200,0.00007,0.0000,0.0000,0.0000,0.0000,0.4845,0.0168,0.0094,0.0238,0.043371,0.002551,0.11041,0.00866,0.099973,0.003525,0.037607,0.001139,0.00154,0.00071,0.005315,0.000273,0.00982,0.00056,0.0044,0.0007,0.20764,0.03709,1073.9,297.7
 14,0.0898,0.0024,0.02290,0.00098,0.0794,0.0152,0.0064,0.0002,0.01316,0.00033,0.0000,0.0000,0.0000,0.0000,0.5714,0.0143,0.0000,0.0000,0.035499,0.001913,0.05524,0.00414,0.087160,0.002260,0.026061,0.000484,0.00118,0.00054,0.004059,0.000185,0.00775,0.00040,0.0054,0.0007,0.12204,0.00726,1190.1,289.4
 20,0.0851,0.0022,0.01861,0.00079,0.0742,0.0142,0.0067,0.0002,0.02431,0.00060,0.0000,0.0000,0.0000,0.0000,0.6188,0.0152,0.0000,0.0000,0.031304,0.001693,0.03168,0.00242,0.078657,0.002006,0.019297,0.000345,0.00103,0.00048,0.003410,0.000155,0.00687,0.00036,0.0047,0.0001,0.08671,0.00509,1252.8,239.9
 30,0.0602,0.0016,0.01042,0.00045,0.0682,0.0130,0.0076,0.0003,0.07019,0.00164,0.0000,0.0000,0.0000,0.0000,0.7038,0.0171,0.0000,0.0000,0.015080,0.000817,0.00729,0.00055,0.043517,0.001105,0.008662,0.000153,0.00037,0.00017,0.001387,0.000063,0.00325,0.00017,0.0039,0.0004,0.03279,0.00175,1243.3,269.3
 45,0.0378,0.0014,0.00152,0.00009,0.0671,0.0215,0.0077,0.0004,0.10893,0.00394,0.0000,0.0000,0.0000,0.0000,0.7515,0.0283,0.0000,0.0000,0.004845,0.000378,0.00081,0.00009,0.016836,0.000649,0.001451,0.000041,0.00012,0.00007,0.000386,0.000027,0.00099,0.00008,0.0014,0.0001,0.00761,0.00061,1111.9,380.5
 60,0.0262,0.0009,0.00044,0.00003,0.0414,0.0128,0.0086,0.0004,0.14441,0.00452,0.0000,0.0000,0.0000,0.0000,0.7729,0.0258,0.0000,0.0000,0.001073,0.000094,0.00010,0.00001,0.004437,0.000167,0.000107,0.000002,0.00002,0.00002,0.000061,0.000005,0.00019,0.00002,0.0004,0.0001,0.00136,0.00014, 938.0,404.8
 75,0.0236,0.0006,0.00000,0.00000,0.0299,0.0057,0.0088,0.0003,0.16062,0.00333,0.0000,0.0000,0.0000,0.0000,0.7762,0.0171,0.0000,0.0000,0.000098,0.000005,0.00000,0.00000,0.000833,0.000019,0.000000,0.000000,0.00000,0.00000,0.000000,0.000000,0.00000,0.00000,0.0002,0.0000,0.00010,0.00001, 790.1,360.7
100,0.0116,0.0003,0.00000,0.00000,0.0105,0.0020,0.0094,0.0003,0.17776,0.00360,0.0000,0.0000,0.0000,0.0000,0.7906,0.0170,0.0000,0.0000,0.000011,0.000001,0.00000,0.00000,0.000067,0.000002,0.000000,0.000000,0.00000,0.00000,0.000000,0.000000,0.00000,0.00000,0.0000,0.0000,0.00001,0.00000, 611.2,242.7
