Position_cm,ave_X_CO2,ave_X_H2,ave_X_H2O,ave_X_Ar,ave_X_O2,ave_X_Propane,ave_X_Methanol,ave_X_N2,ave_X_Ethanol,ave_X_CH4,ave_X_Acetone,ave_X_CO,ave_X_Acetylene,ave_X_Ethylene_1,ave_X_Benzene,ave_X_Ethane,ave_x_Ethylene_2,ave_X_HC,ave_Y_Soot
1,0.0427,0.0523,0.1762,0.0042,0.0166,0,0.2645,0.3856,0,0.0011,0,0.0568,0,0,0,0,0,0.2656,0
2,0.0467,0.0571,0.1856,0.0045,0.0155,0,0.2071,0.4155,0,0.0013,0,0.0667,0,0,0,0,0,0.2084,0
4,0.0538,0.0442,0.1793,0.0056,0.0322,0,0.1138,0.5129,0,0.0009,0,0.0572,0,0,0,0,0,0.1148,0
6,0.0546,0.0313,0.1753,0.0062,0.048,0,0.0798,0.5623,0,0.0006,0,0.0418,0,0,0,0,0,0.0804,0
10,0.0571,0.0161,0.1518,0.0067,0.0779,0,0.0561,0.6104,0,0.0003,0,0.0234,0,0,0,0,0,0.0565,0
14,0.0472,0.0096,0.1422,0.007,0.0932,0,0.0486,0.6359,0,0.0002,0,0.0161,0,0,0,0,0,0.0488,0
20,0.0354,0.0013,0.1008,0.0078,0.1304,0,0,0.7211,0,0,0,0.0032,0,0,0,0,0,0,0
30,0.0194,0,0.0822,0.0079,0.1564,0,0,0.7337,0,0,0,0.0004,0,0,0,0,0,0,0
60,0.0088,0,0,0.0085,0.1917,0,0,0.791,0,0,0,0,0,0,0,0,0,0,0
