Position_cm,ave_X_CO2,ave_X_H2,ave_X_H2O,ave_X_Ar,ave_X_O2,ave_X_Propane,ave_X_Methanol,ave_X_N2,ave_X_Ethanol,ave_X_CH4,ave_X_Acetone,ave_X_CO,ave_X_Acetylene,ave_X_Ethylene_1,ave_X_Benzene,ave_X_Ethane,ave_X_Ethylene_2,ave_X_HC,ave_Y_Soot
2,0.0527,0.0132,0.0862,0.0025,0.0002,0,0,0.2381,0.0646,0.0229,0.3702,0.0531,0.025,0,0.0621,0.0036,0.0055,0.5538,0.00036528
4,0.0607,0.0167,0.0907,0.003,0.0002,0,0,0.2833,0.0122,0.0283,0.3069,0.0639,0.0278,0,0.0953,0.0044,0.0067,0.4815,0.000639371
6,0.0683,0.0183,0.0958,0.0036,0.0003,0,0,0.3332,0.0116,0.0327,0.206,0.0731,0.0316,0,0.1133,0.0044,0.0077,0.4073,0.001040357
10,0.075,0.02,0.1023,0.0044,0.0017,0,0,0.4031,0.0078,0.0361,0.0953,0.0832,0.0308,0,0.1278,0.0044,0.0082,0.3104,0.001334776
14,0.0773,0.0197,0.1064,0.0055,0.0113,0,0,0.4916,0,0.0305,0.0493,0.075,0.0221,0,0.1011,0.0035,0.0067,0.2132,0.001395759
20,0.074,0.0162,0.1057,0.0058,0.0211,0,0,0.5382,0,0.0272,0.0286,0.0684,0.0166,0,0.0892,0.003,0.006,0.1705,0.001140222
30,0.0557,0.0096,0.1034,0.0071,0.065,0,0,0.6514,0,0.014,0.007,0.0403,0.008,0,0.0343,0.0013,0.003,0.0676,0.000945583
45,0.0436,0.0028,0.0964,0.0077,0.0988,0,0,0.7111,0,0.0049,0.0009,0.0171,0.0029,0,0.0125,0.0003,0.001,0.0225,0.000374555
60,0.0321,0.0017,0.088,0.008,0.1337,0,0,0.7301,0,0.0011,0.0001,0.0047,0.0004,0,0,0,0.0002,0.0017,0.000117434
100,0.0139,0,0.0816,0.0079,0.1655,0,0,0.7308,0,0,0.0001,0.0002,0,0,0,0,0,0.0001,1.25004E-05
