Time,I-1 O2 0.2m,I-2 O2 0.2m,I-3 O2 0.2m,I-4 O2 0.2m,I-5 O2 0.2m,I-6 O2 0.2m,I-1 O2 5m,I-2 O2 5m,I-3 O2 5m,I-4 O2 5m,I-5 O2 5m,I-6 O2 5m,I-1 CO 0.2m,I-2 CO 0.2m,I-3 CO 0.2m,I-4 CO 0.2m,I-5 CO 0.2m,I-6 CO 0.2m,I-1 CO 5m,I-2 CO 5m,I-3 CO 5m,I-4 CO 5m,I-5 CO 5m,I-6 CO 5m,I-1 CO2 0.2m,I-2 CO2 0.2m,I-3 CO2 0.2m,I-4 CO2 0.2m,I-5 CO2 0.2m,I-6 CO2 0.2m,I-1 CO2 5m,I-2 CO2 5m,I-3 CO2 5m,I-4 CO2 5m,I-5 CO2 5m,I-6 CO2 5m
-60,0.2103,0.2104,0.2107,0.2102,0.2099,0.2104,0.2101,0.2098,0.2104,0.2104,0.2108,0.2110,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-57,0.2103,0.2104,0.2105,0.2102,0.2098,0.2106,0.2102,0.2098,0.2102,0.2105,0.2107,0.2110,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-54,0.2103,0.2101,0.2104,0.2104,0.2097,0.2106,0.2103,0.2101,0.2102,0.2105,0.2108,0.2108,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-51,0.2105,0.2100,0.2105,0.2105,0.2098,0.2105,0.2103,0.2103,0.2102,0.2104,0.2107,0.2108,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-48,0.2104,0.2103,0.2105,0.2104,0.2099,0.2105,0.2101,0.2104,0.2103,0.2103,0.2107,0.2108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-45,0.2101,0.2104,0.2106,0.2102,0.2099,0.2106,0.2103,0.2103,0.2104,0.2104,0.2108,0.2107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-42,0.2102,0.2102,0.2104,0.2101,0.2098,0.2106,0.2103,0.2102,0.2102,0.2103,0.2108,0.2106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-39,0.2104,0.2100,0.2104,0.2103,0.2098,0.2106,0.2102,0.2103,0.2102,0.2103,0.2107,0.2107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-36,0.2103,0.2101,0.2105,0.2104,0.2099,0.2106,0.2101,0.2104,0.2103,0.2104,0.2107,0.2109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-33,0.2103,0.2103,0.2106,0.2103,0.2098,0.2105,0.2100,0.2104,0.2103,0.2105,0.2109,0.2108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
