Time_1,HRR_1,Time_2,HRR_2,Time_3,HRR_3,Time_4,HRR_4,Time_5,HRR_5,Time_6,HRR_6
0,5.6,0,11.2,0,16.8,0,5.3,0,10.9,0,15.8
1000,5.6,351,11.2,319,16.8,592,5.3,307,10.9,204,15.8
1000,0,351,0,319,0,592,0,307,0,204,0
