Height,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28
m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.1,1002.7,977.0,922.9,932.2,991.2,1007.6,944.0,984.6,946.4,890.0,884.4,875.1,717.3,795.6,889.8,987.4,625.2,830.2,501.3,724.8,833.6,922.1,994.9,978.0,931.0,881.2,658.9,535.3
0.2,1012.0,944.2,864.8,905.8,975.4,1013.7,902.0,1002.8,970.8,915.7,919.7,913.6,779.4,848.0,925.4,1001.9,578.7,813.9,456.8,694.4,870.9,959.2,1004.7,988.3,921.0,854.1,600.1,478.8
0.3,1018.3,967.2,888.5,928.0,984.4,1028.8,920.1,1015.9,984.1,935.3,938.6,938.5,809.9,878.9,943.0,1003.7,529.9,779.0,410.3,632.9,893.8,973.6,1007.6,970.7,894.8,818.6,543.9,426.8
0.4,1028.4,963.2,869.8,911.0,977.1,1038.2,901.3,1029.2,1000.0,961.1,954.3,955.6,838.6,916.0,962.6,1005.5,525.3,779.2,405.4,616.3,928.2,988.4,1012.1,973.3,865.6,815.5,528.0,421.3
0.5,1028.6,947.1,834.1,888.4,964.0,1038.9,870.5,1029.9,1007.1,978.2,967.5,967.2,864.3,929.0,976.3,993.6,498.1,746.7,371.7,589.4,950.1,1000.8,1006.0,951.3,829.9,794.0,498.7,392.8
0.8,1022.8,899.6,776.5,839.2,919.0,1034.6,818.6,1024.8,1022.0,994.2,986.7,987.6,898.6,955.3,998.5,972.8,444.7,686.5,325.9,520.9,978.5,1018.1,992.8,911.8,765.4,719.9,424.8,341.8
1.0,1006.1,825.5,703.2,728.6,820.0,1008.1,721.8,1012.7,1015.9,997.6,990.3,988.4,919.6,963.4,1002.7,950.7,412.5,617.1,288.2,459.3,994.9,1022.2,941.5,843.6,694.9,618.0,353.1,300.0
1.5,953.2,714.8,567.3,573.5,678.0,972.7,589.4,967.8,983.3,1003.9,997.5,1010.5,948.5,991.2,1004.8,831.9,322.3,476.0,221.4,353.6,988.5,1000.9,840.9,705.7,531.7,461.8,254.1,227.7
2.0,864.7,549.3,423.9,392.8,502.1,870.5,430.0,895.8,913.0,981.7,988.3,994.3,964.3,984.9,982.4,678.2,255.7,339.0,175.5,258.3,947.5,952.1,674.8,517.2,380.4,305.4,173.6,165.8
2.5,797.9,463.2,357.3,315.4,420.8,763.5,348.1,825.0,886.9,978.9,983.4,986.3,975.6,976.8,969.9,596.7,243.7,287.8,180.5,235.4,892.2,880.5,577.9,427.5,310.2,264.0,171.1,164.9
3.0,687.6,352.7,279.1,234.3,308.7,634.6,272.3,725.4,768.1,924.1,948.7,947.0,951.5,936.5,909.5,459.2,191.1,213.0,141.3,178.0,841.9,804.6,449.9,323.6,236.4,206.5,128.4,119.5
3.5,580.2,291.8,226.3,193.5,251.2,522.2,227.1,609.7,658.4,860.5,885.3,886.3,923.7,874.8,838.1,378.8,159.4,179.8,118.3,146.6,774.8,710.3,370.1,260.8,191.9,169.4,106.8,97.3
4.0,522.8,263.8,202.2,175.0,233.4,467.9,206.9,549.3,598.5,804.7,851.9,861.2,906.3,847.9,797.7,337.8,152.0,171.4,121.2,142.7,738.1,654.7,337.6,243.0,176.6,157.5,101.4,93.9
4.5,456.5,236.6,182.2,157.5,206.1,410.1,185.9,484.2,527.4,741.4,799.4,815.0,857.9,800.6,734.4,294.1,136.9,157.9,111.3,127.7,674.0,574.9,296.9,210.0,158.2,141.2,96.8,85.3
5.0,386.0,203.4,161.9,140.9,177.5,354.4,163.8,426.8,445.2,662.3,733.7,756.3,799.4,740.0,653.5,257.4,119.7,138.8,94.5,111.0,607.0,504.9,256.9,182.2,137.3,123.1,80.7,72.4
5.5,332.3,175.9,144.8,126.2,154.2,297.1,144.3,368.1,375.3,563.7,656.9,691.2,743.6,663.6,584.0,226.0,105.0,120.5,83.6,95.9,540.1,418.6,215.8,159.0,116.6,104.9,70.8,61.8
6.0,295.2,161.3,128.6,116.7,141.6,260.1,135.3,324.2,331.3,514.0,604.5,621.8,692.7,612.6,530.0,205.5,97.7,111.9,80.3,90.6,498.4,367.1,194.0,147.7,108.9,97.8,66.3,57.8
6.5,273.1,156.0,122.3,115.0,136.6,245.1,133.3,303.0,310.4,481.7,566.0,581.4,666.0,569.1,495.7,193.9,96.6,111.2,79.9,92.1,475.8,338.6,184.7,146.2,110.8,97.1,68.4,60.4
7.0,235.0,139.6,109.1,102.2,120.0,213.7,121.3,257.4,272.1,424.3,498.7,522.3,609.8,501.2,433.6,170.7,87.3,97.4,71.1,81.9,422.5,291.8,166.7,127.3,102.2,87.5,61.0,54.7
7.5,216.8,132.4,104.8,98.4,113.1,202.9,115.8,233.9,250.9,386.3,462.8,494.1,587.7,458.5,393.1,164.6,84.5,96.0,68.7,79.3,386.1,274.7,158.2,125.2,99.5,84.5,60.1,54.5
