Time,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28
s,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
0,3.86,2.06,1.53,1.53,2.14,3.76,1.74,4,4.41,5.97,6.51,6.78,7.75,6.88,6.12,2.63,0.03,1.14,0.03,0.22,6.09,4.82,3.03,2.26,1.61,1.28,0.13,0.03
30,3.86,2.06,1.53,1.53,2.14,3.76,1.74,4,4.41,5.97,6.51,6.78,7.75,6.88,6.12,2.63,0.03,1.14,0.03,0.22,6.09,4.82,3.03,2.26,1.61,1.28,0.13,0.03
