Height,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20,Test 21,Test 22,Test 23,Test 24,Test 25,Test 26,Test 27,Test 28
m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
0.3,2.17,1.06,0.77,0.59,1.01,2.13,0.79,2.16,2.19,3.10,3.48,4.03,3.97,3.59,3.22,1.28,0.24,0.46,0.16,0.23,3.31,2.47,1.44,0.95,0.67,0.47,0.20,0.11
1.0,2.46,1.25,0.91,0.69,1.19,2.41,0.96,2.48,2.44,3.48,3.94,4.58,4.46,4.02,3.60,1.52,0.33,0.54,0.21,0.30,3.71,2.80,1.65,1.14,0.82,0.60,0.30,0.17
1.5,2.47,1.30,0.96,0.72,1.23,2.42,1.01,2.53,2.50,3.58,4.06,4.73,4.57,4.17,3.70,1.59,0.37,0.58,0.25,0.34,3.82,2.90,1.67,1.19,0.87,0.65,0.35,0.21
2.0,2.44,1.32,0.98,0.72,1.24,2.39,1.03,2.50,2.51,3.62,4.14,4.79,4.68,4.20,3.73,1.58,0.40,0.61,0.27,0.37,3.89,2.92,1.69,1.22,0.89,0.67,0.38,0.23
2.5,2.45,1.34,1.01,0.73,1.26,2.42,1.06,2.46,2.57,3.67,4.18,4.84,4.76,4.27,3.79,1.59,0.43,0.65,0.31,0.40,4.01,2.96,1.75,1.27,0.93,0.72,0.41,0.26
3.0,2.40,1.32,1.01,0.71,1.25,2.40,1.05,2.36,2.54,3.57,4.09,4.75,4.69,4.22,3.73,1.54,0.45,0.66,0.32,0.41,3.93,2.88,1.76,1.27,0.94,0.73,0.42,0.27
3.5,2.39,1.32,1.02,0.69,1.22,2.39,1.07,2.33,2.48,3.51,4.05,4.74,4.70,4.20,3.69,1.52,0.46,0.66,0.34,0.42,3.92,2.82,1.75,1.26,0.94,0.73,0.44,0.29
4.0,2.33,1.29,1.00,0.67,1.19,2.36,1.06,2.28,2.42,3.44,3.97,4.66,4.64,4.09,3.62,1.49,0.45,0.65,0.35,0.42,3.84,2.76,1.70,1.23,0.93,0.73,0.44,0.29
