Time,Top Grid Avg,Mid Grid Avg,Bot Grid Avg
s,C,C,C
   0.,  68.5,  83.8, 112.5
  10., 257.2, 335.6, 488.3
  20., 284.1, 368.6, 532.9
  30., 309.2, 398.8, 572.2
  40., 330.0, 423.9, 602.3
  50., 340.0, 433.2, 609.1
  60., 339.9, 429.5, 599.6
  70., 339.6, 424.6, 589.5
  80., 339.5, 419.5, 591.8
  90., 337.1, 418.7, 592.8
 100., 340.7, 425.3, 594.6
 110., 344.5, 429.7, 594.9
 120., 349.0, 434.8, 595.5
 130., 351.5, 437.7, 599.9
 140., 351.8, 436.6, 602.0
 150., 351.7, 434.4, 603.7
 160., 351.3, 431.2, 600.9
 170., 349.4, 427.2, 594.7
 180., 348.3, 425.2, 591.9
 190., 347.4, 423.1, 589.4
 200., 345.9, 421.4, 587.0
 210., 344.7, 419.0, 585.2
 220., 342.1, 414.7, 582.9
 230., 341.3, 412.7, 583.6
 240., 340.8, 411.7, 586.7
 250., 338.4, 407.6, 587.1
 260., 336.0, 404.6, 584.8
 270., 334.9, 403.4, 580.2
 280., 333.7, 403.1, 578.4
 290., 332.2, 401.9, 578.1
 300., 331.7, 400.3, 578.8
 310., 332.1, 399.3, 581.1
 320., 332.1, 397.7, 583.0
 330., 333.9, 400.2, 587.9
 340., 335.8, 402.0, 593.1
 350., 336.3, 402.4, 596.1
 360., 335.7, 402.0, 595.3
 370., 336.3, 402.0, 593.4
 380., 337.8, 402.8, 594.5
 390., 338.2, 402.8, 596.4
 400., 338.9, 402.1, 595.6
 410., 340.3, 403.0, 594.6
 420., 342.6, 405.3, 594.4
 430., 343.7, 406.2, 592.0
 440., 345.1, 407.6, 591.1
 450., 345.0, 406.6, 590.3
 460., 343.6, 404.6, 586.6
 470., 343.4, 404.3, 583.6
 480., 342.8, 402.0, 580.8
 490., 341.1, 399.2, 578.9
 500., 339.9, 397.2, 577.9
 510., 339.4, 397.3, 575.6
 520., 339.7, 398.1, 574.7
 530., 339.7, 397.5, 573.2
 540., 338.5, 397.2, 572.1
 550., 338.0, 397.5, 571.1
 560., 339.4, 397.8, 572.1
 570., 338.7, 397.5, 568.7
 580., 339.9, 398.2, 570.5
 590., 339.7, 397.8, 570.8
 600., 341.3, 399.5, 572.9
 610., 344.1, 401.1, 573.3
 620., 345.5, 402.5, 568.4
 630., 346.5, 403.0, 569.1
