Time,Top Grid Avg,Mid Grid Avg,Bot Grid Avg
s,C,C,C
   0.,  79.4,  96.9, 132.5
  10., 233.2, 297.8, 434.7
  20., 250.5, 320.0, 467.1
  30., 260.0, 333.0, 486.8
  40., 268.0, 341.4, 495.9
  50., 273.7, 345.9, 499.0
  60., 274.8, 345.5, 497.1
  70., 278.0, 347.1, 497.4
  80., 281.1, 349.7, 499.0
  90., 284.1, 353.1, 501.6
 100., 290.1, 360.0, 505.1
 110., 296.7, 367.7, 513.2
 120., 303.8, 375.7, 521.2
 130., 307.4, 379.0, 523.8
 140., 309.5, 380.5, 523.8
 150., 311.8, 381.2, 525.6
 160., 311.9, 380.0, 526.2
 170., 311.6, 379.4, 527.9
 180., 311.3, 380.7, 530.2
 190., 310.0, 381.2, 533.0
 200., 310.6, 383.7, 536.4
 210., 311.3, 384.3, 540.3
 220., 313.1, 385.8, 543.1
 230., 312.3, 387.5, 544.8
 240., 309.6, 386.2, 544.2
 250., 306.6, 385.1, 545.3
 260., 307.0, 387.7, 551.6
 270., 308.0, 390.6, 556.0
 280., 309.0, 392.9, 560.2
 290., 309.9, 396.3, 562.7
 300., 312.3, 397.0, 562.9
 310., 316.1, 399.8, 564.5
 320., 316.0, 399.1, 565.0
 330., 315.5, 397.6, 564.6
 340., 313.7, 395.2, 564.7
 350., 312.8, 392.1, 563.1
 360., 311.3, 390.0, 560.2
 370., 312.2, 391.4, 560.2
 380., 311.6, 392.8, 559.8
 390., 309.9, 391.4, 558.6
 400., 308.7, 388.8, 558.4
 410., 308.3, 386.6, 560.5
 420., 309.3, 389.9, 564.6
 430., 308.4, 390.8, 566.9
 440., 308.9, 391.6, 568.5
 450., 312.8, 396.7, 570.9
 460., 314.5, 398.7, 571.9
 470., 316.2, 400.0, 573.4
 480., 317.2, 399.9, 575.3
 490., 317.9, 398.8, 574.3
 500., 318.3, 396.1, 570.3
 510., 320.1, 396.7, 569.2
 520., 323.0, 400.2, 570.1
 530., 324.5, 402.9, 568.4
 540., 324.5, 403.0, 567.0
 550., 324.0, 401.1, 563.6
 560., 324.3, 400.8, 561.7
 570., 323.1, 400.5, 561.2
 580., 320.6, 397.9, 558.7
 590., 320.1, 397.5, 557.2
 600., 321.4, 399.1, 556.5
 610., 323.5, 401.9, 559.0
 620., 323.5, 401.8, 561.1
 630., 324.4, 402.9, 563.6
 640., 324.5, 404.2, 564.6
 650., 325.2, 403.9, 564.8
 660., 325.9, 403.1, 564.7
 670., 325.8, 402.4, 564.3
 680., 325.4, 401.1, 563.8
 690., 323.9, 397.3, 560.0
 700., 326.3, 399.2, 561.9
 710., 325.8, 400.2, 563.4
 720., 324.1, 399.3, 564.1
 730., 320.2, 395.7, 562.1
 740., 317.9, 394.2, 561.4
 750., 316.9, 392.8, 560.4
 760., 316.6, 391.3, 559.4
 770., 314.7, 388.1, 558.6
 780., 313.5, 386.6, 559.7
 790., 316.9, 389.7, 562.9
 800., 320.4, 394.0, 567.1
 810., 320.6, 394.3, 567.9
 820., 319.5, 394.0, 567.1
 830., 319.1, 393.3, 566.2
 840., 320.0, 395.2, 566.7
 850., 322.2, 399.6, 570.6
 860., 323.6, 403.6, 574.4
 870., 326.2, 406.2, 577.1
 880., 326.7, 406.9, 578.3
 890., 325.2, 407.3, 577.5
 900., 324.9, 408.4, 575.8
 910., 321.9, 406.6, 574.4
 920., 321.1, 407.5, 573.9
 930., 322.8, 409.8, 574.6
 940., 323.4, 409.7, 574.3
 950., 326.4, 411.5, 577.5
 960., 328.0, 412.9, 580.1
 970., 329.3, 412.5, 581.1
 980., 333.1, 414.1, 583.3
 990., 332.1, 413.5, 581.4
1000., 331.0, 413.5, 582.1
1010., 333.6, 416.6, 585.2
1020., 337.3, 419.2, 589.7
1030., 339.8, 421.8, 591.0
1040., 338.7, 420.6, 589.7
1050., 337.4, 419.2, 589.9
1060., 339.5, 421.2, 592.5
1070., 338.9, 422.3, 591.5
1080., 338.4, 423.3, 590.6
1090., 340.2, 426.7, 591.7
1100., 337.9, 423.1, 585.9
1110., 339.0, 424.7, 587.5
1120., 339.9, 426.4, 587.5
1130., 339.6, 425.6, 584.6
1140., 337.1, 422.5, 580.1
1150., 334.9, 418.7, 576.7
1160., 335.1, 417.0, 575.6
1170., 334.2, 415.2, 574.3
1180., 331.1, 411.1, 570.5
1190., 330.0, 408.2, 568.0
1200., 330.1, 405.4, 565.0
1210., 327.7, 401.5, 561.8
1220., 326.4, 401.9, 563.2
1230., 323.5, 399.3, 560.2
1240., 322.5, 395.7, 556.2
1250., 322.5, 395.0, 556.7
1260., 322.6, 395.9, 558.7
1270., 323.2, 397.8, 561.1
1280., 323.5, 399.6, 564.6
1290., 325.0, 401.6, 565.7
1300., 326.0, 403.8, 566.4
1310., 328.2, 406.6, 569.8
1320., 330.5, 411.7, 575.3
1330., 330.8, 412.7, 577.0
1340., 332.2, 414.9, 579.0
1350., 337.2, 420.9, 585.5
1360., 339.7, 424.3, 592.0
1370., 338.9, 421.9, 592.8
1380., 340.7, 422.5, 594.1
1390., 342.2, 423.9, 595.9
1400., 342.3, 425.2, 597.8
1410., 343.1, 427.2, 599.7
1420., 344.8, 430.2, 602.8
1430., 343.6, 430.8, 602.9
1440., 341.0, 427.3, 598.7
1450., 342.9, 429.2, 598.9
1460., 343.0, 429.9, 598.8
1470., 339.0, 425.1, 594.7
1480., 338.5, 423.9, 592.8
1490., 340.4, 427.9, 594.5
1500., 339.9, 430.2, 596.3
1510., 339.7, 433.6, 599.8
1520., 343.1, 438.7, 603.0
1530., 344.3, 439.2, 603.2
1540., 343.1, 437.5, 603.9
1550., 343.7, 436.8, 604.5
1560., 343.3, 435.0, 603.9
1570., 341.7, 432.2, 603.1
1580., 342.1, 431.1, 602.2
1590., 344.6, 434.3, 604.4
1600., 342.8, 433.9, 602.6
1610., 340.7, 431.8, 601.7
1620., 339.8, 428.0, 599.4
1630., 340.6, 425.3, 597.7
1640., 340.0, 422.2, 596.4
1650., 340.7, 424.4, 598.4
1660., 340.4, 424.8, 596.5
1670., 340.6, 426.7, 598.5
1680., 344.1, 433.5, 605.8
1690., 345.1, 435.7, 608.3
1700., 343.7, 432.4, 599.8
1710., 341.8, 427.3, 586.6
1720., 342.6, 423.3, 573.9
1730., 343.3, 419.2, 558.8
1740., 343.6, 416.6, 545.0
1750., 342.3, 412.4, 530.5
1760., 340.6, 407.0, 515.0
1770., 337.2, 398.6, 498.5
1780., 336.3, 394.3, 485.4
1790., 334.6, 387.9, 469.1
1800., 329.8, 376.8, 453.2
1810., 326.7, 368.7, 442.1
1820., 326.6, 367.7, 440.6
1830., 326.7, 367.3, 439.5
1840., 326.8, 367.1, 440.2
1850., 326.2, 366.2, 440.1
1860., 324.8, 364.2, 439.0
1870., 323.2, 363.1, 438.6
1880., 323.1, 362.6, 438.5
1890., 324.3, 363.5, 439.6
1900., 324.2, 363.0, 437.5
1910., 324.8, 363.6, 436.9
1920., 326.2, 364.4, 437.4
1930., 326.5, 364.4, 436.6
1940., 325.2, 362.9, 435.0
