Time,Top Grid Avg,Mid Grid Avg,Bot Grid Avg
s,C,C,C
   0.,  60.1,  69.5,  91.0
  10., 154.2, 188.3, 276.6
  20., 165.5, 202.6, 298.3
  30., 173.0, 211.6, 310.0
  40., 178.2, 216.6, 314.8
  50., 181.5, 219.4, 316.4
  60., 184.4, 222.9, 318.9
  70., 188.8, 228.0, 323.5
  80., 192.7, 232.1, 324.7
  90., 196.0, 234.9, 325.8
 100., 199.8, 238.5, 327.8
 110., 202.5, 239.8, 326.8
 120., 204.0, 240.3, 327.5
 130., 205.5, 240.7, 334.1
 140., 206.5, 239.7, 337.1
 150., 207.1, 238.8, 337.8
 160., 208.2, 240.4, 337.5
 170., 208.4, 241.2, 337.6
 180., 208.1, 241.2, 335.2
 190., 208.0, 242.0, 334.1
 200., 208.4, 241.2, 333.3
 210., 208.8, 241.3, 332.3
 220., 208.6, 240.7, 329.9
 230., 208.6, 240.2, 327.2
 240., 207.9, 239.5, 324.7
 250., 206.9, 238.0, 322.6
 260., 207.4, 238.2, 322.0
 270., 207.6, 237.9, 320.0
 280., 207.7, 238.0, 320.9
 290., 208.0, 238.1, 322.6
 300., 208.7, 238.2, 325.0
 310., 208.0, 236.8, 325.1
 320., 207.5, 236.2, 323.9
 330., 207.1, 235.2, 323.3
 340., 206.8, 234.0, 322.1
 350., 206.5, 233.1, 322.7
 360., 206.7, 232.4, 321.3
 370., 207.0, 232.4, 321.2
 380., 206.7, 232.1, 320.5
 390., 206.3, 231.4, 321.1
 400., 205.9, 230.2, 321.4
 410., 206.8, 230.2, 320.2
 420., 207.2, 230.2, 320.1
 430., 208.2, 231.3, 320.8
 440., 209.1, 233.3, 324.1
 450., 210.2, 234.2, 325.4
 460., 211.0, 235.1, 325.3
 470., 211.9, 236.0, 325.5
 480., 213.5, 237.9, 328.0
 490., 214.4, 238.5, 329.3
 500., 214.9, 238.2, 329.7
 510., 214.9, 237.9, 330.0
 520., 215.1, 237.9, 329.1
 530., 214.4, 237.3, 328.1
 540., 214.1, 237.2, 326.5
 550., 213.5, 237.1, 324.8
 560., 212.7, 236.4, 323.5
 570., 211.2, 235.9, 323.5
 580., 211.0, 236.4, 325.8
 590., 210.5, 235.3, 325.3
 600., 209.4, 233.9, 323.6
 610., 208.7, 233.0, 322.5
 620., 208.1, 232.7, 321.2
 630., 207.7, 233.0, 320.3
 640., 207.4, 233.1, 318.7
 650., 207.4, 233.0, 319.2
 660., 207.2, 232.0, 320.1
 670., 207.8, 230.9, 319.8
 680., 208.0, 229.5, 317.7
 690., 208.1, 229.3, 314.5
 700., 208.3, 228.1, 311.8
 710., 207.7, 228.1, 310.3
 720., 207.4, 228.1, 309.9
 730., 207.3, 228.0, 310.2
 740., 207.6, 228.4, 310.9
 750., 208.2, 228.6, 311.8
 760., 208.7, 229.5, 314.2
 770., 209.3, 230.3, 315.2
 780., 209.6, 231.0, 313.8
 790., 209.0, 231.1, 312.8
 800., 209.2, 232.3, 313.7
 810., 209.7, 233.2, 316.1
 820., 209.1, 233.0, 317.4
 830., 208.9, 233.2, 318.5
 840., 209.1, 233.2, 318.0
 850., 208.8, 233.0, 317.0
 860., 208.6, 232.7, 315.9
 870., 208.2, 232.2, 314.2
 880., 208.5, 233.1, 313.7
 890., 208.4, 233.0, 313.1
 900., 208.5, 233.2, 313.7
 910., 208.9, 233.8, 315.2
 920., 208.9, 234.1, 315.3
 930., 208.9, 234.2, 314.4
 940., 209.4, 233.4, 313.0
 950., 209.9, 233.4, 311.7
 960., 209.8, 233.4, 311.1
 970., 210.2, 233.6, 311.7
 980., 210.4, 233.6, 311.5
 990., 209.6, 233.2, 310.5
1000., 208.7, 231.8, 308.7
1010., 207.8, 230.5, 305.9
1020., 207.3, 230.4, 303.8
1030., 206.6, 230.1, 302.0
1040., 206.5, 229.8, 301.5
1050., 206.5, 229.7, 299.9
1060., 205.8, 228.9, 297.2
1070., 206.0, 228.2, 296.7
1080., 206.3, 228.1, 297.5
1090., 206.1, 228.0, 297.3
1100., 205.6, 227.3, 296.8
1110., 206.0, 226.8, 297.3
1120., 206.9, 226.9, 297.4
1130., 207.6, 227.8, 299.3
1140., 207.9, 228.6, 300.7
1150., 208.0, 229.4, 301.6
1160., 208.2, 229.5, 302.3
1170., 208.0, 229.2, 303.9
1180., 209.0, 230.4, 308.5
1190., 209.1, 230.9, 311.5
1200., 210.1, 231.7, 313.1
1210., 210.7, 231.5, 314.3
1220., 211.4, 232.5, 316.1
1230., 212.1, 234.2, 318.4
1240., 212.2, 234.5, 319.4
1250., 212.5, 234.4, 319.4
1260., 212.8, 235.9, 320.8
1270., 213.8, 236.1, 321.6
1280., 213.6, 235.9, 321.9
1290., 214.0, 236.8, 323.2
1300., 214.1, 237.0, 322.9
1310., 214.6, 236.9, 321.9
1320., 213.9, 236.5, 320.7
1330., 213.3, 236.3, 320.4
1340., 212.9, 235.3, 318.7
1350., 212.2, 234.1, 315.6
1360., 212.3, 234.1, 314.9
1370., 212.4, 234.4, 314.6
1380., 212.7, 233.7, 313.6
1390., 212.8, 233.3, 312.8
1400., 213.1, 233.0, 311.6
1410., 213.4, 232.3, 310.8
1420., 213.4, 232.1, 309.8
1430., 213.1, 231.9, 309.1
1440., 212.8, 231.8, 308.6
1450., 213.3, 232.7, 308.2
1460., 214.0, 232.8, 307.7
1470., 214.6, 233.2, 308.4
1480., 214.8, 233.7, 309.4
1490., 214.8, 233.9, 310.2
