Time,Top Grid Avg,Mid Grid Avg,Bot Grid Avg
s,C,C,C
   0.,  66.6,  79.7, 108.3
  10., 212.2, 270.9, 401.1
  20., 228.2, 291.1, 429.5
  30., 241.6, 306.1, 448.0
  40., 250.1, 313.4, 453.9
  50., 254.3, 316.8, 452.5
  60., 257.1, 318.4, 449.7
  70., 259.3, 318.6, 447.7
  80., 261.0, 317.2, 454.5
  90., 262.0, 314.3, 462.6
 100., 266.5, 316.2, 468.4
 110., 270.7, 321.4, 474.1
 120., 273.8, 326.8, 477.6
 130., 275.6, 328.9, 476.7
 140., 276.6, 328.0, 472.7
 150., 275.9, 325.7, 468.1
 160., 275.3, 323.7, 463.2
 170., 273.6, 321.1, 458.9
 180., 272.7, 319.7, 456.2
 190., 272.1, 319.0, 455.9
 200., 272.1, 319.2, 455.8
 210., 271.8, 318.0, 455.7
 220., 272.1, 317.9, 455.7
 230., 272.8, 318.3, 453.3
 240., 272.9, 318.5, 451.8
 250., 273.8, 319.0, 453.3
 260., 274.1, 319.0, 455.3
 270., 275.4, 320.3, 457.8
 280., 276.1, 321.1, 458.9
 290., 277.5, 322.6, 461.7
 300., 278.5, 323.1, 462.8
 310., 278.9, 322.9, 461.7
 320., 278.3, 320.3, 456.8
 330., 276.6, 317.4, 451.3
 340., 275.6, 315.7, 446.1
 350., 274.8, 313.5, 444.3
 360., 274.5, 312.5, 444.2
 370., 273.6, 311.5, 443.2
 380., 273.5, 312.2, 442.4
 390., 272.9, 312.0, 441.7
 400., 272.7, 311.9, 443.6
 410., 272.9, 311.5, 441.9
 420., 272.2, 309.5, 437.4
 430., 271.8, 309.0, 436.5
 440., 271.5, 308.8, 438.3
 450., 271.8, 309.4, 438.4
 460., 271.3, 309.1, 437.8
 470., 271.2, 309.3, 438.9
 480., 271.2, 309.3, 438.9
 490., 271.6, 309.2, 436.0
 500., 272.0, 308.0, 434.0
 510., 271.2, 306.6, 433.7
 520., 270.5, 306.9, 431.9
 530., 270.9, 307.6, 432.1
 540., 271.6, 309.8, 435.2
 550., 272.3, 310.7, 435.4
 560., 273.4, 310.1, 433.3
 570., 274.4, 310.6, 434.4
 580., 275.8, 311.7, 436.9
 590., 276.3, 312.0, 435.6
 600., 276.3, 312.6, 435.4
 610., 275.8, 312.5, 436.4
 620., 275.4, 313.7, 437.1
 630., 275.9, 315.0, 436.2
 640., 276.0, 315.4, 434.6
 650., 275.1, 314.4, 432.4
 660., 275.6, 314.4, 431.9
 670., 276.2, 314.6, 433.5
 680., 276.0, 314.2, 437.5
 690., 275.4, 313.2, 436.7
 700., 275.8, 313.4, 435.7
 710., 276.8, 314.3, 437.8
 720., 276.9, 314.8, 438.6
 730., 278.1, 315.7, 440.7
 740., 278.8, 315.7, 443.0
 750., 279.4, 316.2, 446.2
 760., 280.3, 316.9, 448.1
 770., 280.5, 316.3, 448.5
 780., 280.3, 315.4, 448.9
 790., 280.2, 316.7, 449.9
 800., 280.2, 318.1, 449.1
 810., 281.2, 320.4, 453.8
 820., 281.4, 320.9, 455.4
 830., 281.0, 321.2, 455.4
 840., 280.7, 321.7, 454.3
 850., 280.3, 321.4, 452.3
 860., 279.8, 320.5, 448.4
 870., 279.5, 319.2, 443.7
 880., 278.9, 318.1, 441.8
 890., 278.9, 318.0, 440.4
 900., 277.6, 316.7, 437.5
 910., 276.5, 314.2, 433.6
 920., 276.5, 312.4, 432.1
 930., 275.6, 310.0, 428.0
 940., 274.6, 309.5, 427.0
 950., 274.4, 310.0, 427.6
 960., 276.3, 309.9, 429.5
 970., 277.6, 310.5, 429.6
 980., 277.7, 310.2, 429.3
 990., 277.5, 310.9, 431.0
1000., 276.5, 309.7, 430.7
1010., 277.0, 310.1, 433.2
1020., 277.8, 311.4, 434.8
1030., 278.3, 312.4, 437.0
1040., 277.9, 312.7, 437.3
1050., 279.1, 313.7, 435.8
1060., 278.9, 312.5, 433.1
1070., 278.0, 310.6, 431.1
1080., 277.1, 309.1, 429.6
1090., 275.3, 307.3, 428.3
1100., 274.5, 306.9, 427.5
1110., 274.0, 305.8, 424.8
1120., 275.0, 306.7, 423.9
1130., 275.6, 307.8, 422.4
1140., 275.5, 307.7, 422.6
1150., 276.4, 307.9, 422.3
1160., 277.2, 308.5, 421.0
1170., 276.8, 308.1, 421.3
1180., 276.7, 307.8, 419.7
1190., 276.9, 308.0, 417.4
1200., 276.3, 307.4, 415.0
1210., 276.8, 307.6, 415.5
1220., 277.7, 308.3, 417.4
1230., 278.5, 309.5, 418.8
1240., 277.3, 308.7, 419.7
1250., 275.4, 305.9, 416.6
1260., 275.1, 304.4, 413.3
1270., 274.3, 304.0, 410.8
1280., 273.2, 302.9, 409.9
1290., 273.3, 303.3, 409.6
1300., 273.8, 304.3, 413.3
1310., 274.1, 305.5, 417.0
1320., 274.2, 307.1, 420.1
1330., 274.4, 309.1, 422.1
1340., 275.1, 310.6, 424.7
1350., 275.0, 310.1, 422.9
1360., 275.5, 310.7, 423.5
1370., 276.5, 312.4, 424.2
1380., 277.3, 313.5, 426.0
1390., 278.1, 315.7, 429.3
1400., 279.0, 317.2, 430.9
1410., 279.0, 317.4, 431.5
1420., 278.2, 317.2, 430.4
1430., 278.2, 317.5, 430.0
1440., 278.7, 317.2, 428.0
1450., 278.3, 315.8, 427.0
1460., 277.8, 315.1, 425.6
1470., 278.4, 316.3, 425.3
1480., 278.7, 316.6, 423.0
1490., 279.2, 316.7, 423.6
1500., 279.6, 318.3, 425.4
1510., 279.6, 318.2, 426.3
1520., 279.6, 318.1, 428.1
1530., 279.9, 318.3, 428.5
1540., 280.6, 317.8, 429.7
1550., 281.2, 317.6, 429.0
1560., 282.0, 318.1, 430.1
1570., 283.1, 318.6, 430.9
1580., 282.5, 317.4, 430.7
1590., 281.8, 315.6, 430.2
1600., 282.3, 315.0, 431.6
1610., 281.4, 314.1, 433.3
1620., 279.6, 311.7, 432.3
1630., 279.3, 310.5, 431.8
1640., 280.2, 311.3, 431.8
1650., 279.5, 310.6, 429.8
1660., 279.0, 309.6, 426.0
1670., 278.2, 308.1, 424.3
1680., 277.0, 306.8, 424.4
1690., 276.9, 307.3, 425.3
1700., 276.2, 308.5, 425.6
1710., 275.9, 310.6, 426.5
1720., 274.2, 312.5, 424.9
1730., 273.2, 311.8, 421.5
1740., 275.2, 312.7, 423.4
1750., 276.8, 313.3, 425.2
1760., 276.4, 312.7, 421.2
1770., 277.0, 313.5, 422.5
1780., 278.7, 315.7, 428.3
1790., 280.2, 318.8, 431.1
1800., 281.8, 321.8, 430.7
1810., 282.6, 323.9, 428.4
1820., 283.1, 324.4, 427.2
1830., 283.1, 324.3, 425.6
1840., 283.3, 324.3, 426.3
1850., 285.0, 324.8, 428.1
1860., 284.4, 324.8, 427.0
1870., 282.8, 324.0, 423.8
1880., 282.4, 324.1, 423.4
