Time,Top Grid Avg,Mid Grid Avg,Bot Grid Avg
s,C,C,C
   0.,  25.8,  25.8,  25.8
  10.,  27.1,  27.9,  28.6
  20.,  32.8,  35.3,  38.8
  30.,  42.7,  48.0,  56.5
  40.,  55.6,  65.2,  82.1
  50.,  77.3,  93.7, 124.0
  60., 105.9, 131.4, 174.9
  70., 135.7, 172.0, 227.5
  80., 165.1, 211.1, 279.2
  90., 191.9, 247.7, 329.1
 100., 224.6, 290.2, 383.6
 110., 259.3, 332.8, 437.6
 120., 292.4, 373.7, 489.7
 130., 327.2, 417.1, 545.4
 140., 357.5, 455.9, 595.3
 150., 383.3, 488.8, 636.3
 160., 406.7, 517.2, 669.6
 170., 422.5, 536.9, 688.6
 180., 429.6, 544.5, 694.9
 190., 431.7, 544.9, 695.6
 200., 434.0, 545.1, 695.5
 210., 438.9, 549.6, 700.6
 220., 439.6, 549.6, 701.8
 230., 437.4, 547.6, 700.1
 240., 435.5, 546.3, 699.7
 250., 433.9, 544.1, 697.2
 260., 433.0, 541.5, 693.3
 270., 431.6, 537.1, 688.8
 280., 429.5, 532.5, 683.5
 290., 430.2, 529.7, 681.1
 300., 431.0, 527.5, 679.6
 310., 432.2, 527.3, 680.2
 320., 435.0, 530.5, 684.6
 330., 440.2, 534.7, 688.3
 340., 443.6, 535.3, 689.1
 350., 442.7, 532.7, 688.4
 360., 445.0, 534.4, 690.8
 370., 447.4, 535.8, 691.2
 380., 447.2, 538.6, 690.9
 390., 448.0, 543.0, 690.3
 400., 447.9, 546.1, 692.8
 410., 445.4, 545.2, 693.9
 420., 444.0, 542.5, 693.8
 430., 443.3, 542.6, 693.7
 440., 439.7, 541.8, 693.9
 450., 437.6, 541.7, 694.2
 460., 434.7, 538.0, 690.6
 470., 437.5, 539.8, 690.5
 480., 441.6, 543.4, 693.6
 490., 442.3, 543.0, 693.5
 500., 444.0, 543.0, 693.2
 510., 443.7, 543.2, 695.8
 520., 444.8, 544.3, 697.3
 530., 446.3, 544.1, 697.4
 540., 449.0, 546.3, 696.7
 550., 452.0, 550.8, 699.8
 560., 455.3, 553.8, 701.5
 570., 456.5, 554.8, 702.9
 580., 456.6, 555.5, 705.2
 590., 452.4, 552.9, 706.6
 600., 449.3, 550.8, 707.5
 610., 447.2, 548.5, 706.5
 620., 445.8, 547.7, 707.7
 630., 442.8, 545.0, 705.3
 640., 442.3, 544.8, 706.3
 650., 443.2, 547.6, 709.5
 660., 442.3, 548.7, 712.9
 670., 439.1, 544.6, 711.9
 680., 440.4, 545.4, 712.7
 690., 440.6, 546.8, 712.1
 700., 440.6, 547.0, 710.4
 710., 442.0, 546.9, 711.0
 720., 442.5, 545.6, 708.9
 730., 443.2, 545.7, 708.9
 740., 442.8, 545.3, 709.1
 750., 444.3, 545.6, 710.0
 760., 443.4, 544.7, 709.0
 770., 441.2, 543.3, 707.6
 780., 440.5, 544.1, 710.5
 790., 443.7, 548.5, 713.8
 800., 444.5, 548.6, 713.3
 810., 445.4, 548.4, 714.8
 820., 446.3, 550.6, 717.8
 830., 448.0, 554.8, 720.9
 840., 448.7, 558.2, 722.7
 850., 450.3, 563.3, 726.9
 860., 451.8, 565.8, 730.6
 870., 455.5, 570.1, 737.4
 880., 460.3, 574.9, 742.3
