Time,DSF1,DSF2,DSF3,DSF4,DSF5,DSF6,DSF7,DSF8,DSF9,DSF10,DSF11,DSF12,DSF13,DSF14,DSF15,DSF16,DSF17,DSF18,DSF19,DSF20,DSF21,DSF22,DSF23,DSF24,DSF25,DSF26,DSF27,DSF28,DSF29,DSF30,DSF31,DSF32,DSF33,DSF34,DSF35,DSF36,DSF37,DSF38,DSF39,DSF40,DSF41,DSF42,DSF43,DSF44,DSF45,DSF46
0,0.01,0.019,0.019,0.019,0.01,0.016,0.017,0.023,0.013,0.028,0.028,0.033,0.01,0.023,0.025,0.028,0.016,0.022,0.029,0.031,0.034,0.04,0,0,0.016,0.02,0.02,0.024,0.016,0.019,0.02,0.025,0.024,0.031,0.033,0.038,0.019,0.023,0.035,0.038,0.018,0.03,0.031,0.032,0.037,0.042
1000,0.01,0.019,0.019,0.019,0.01,0.016,0.017,0.023,0.013,0.028,0.028,0.033,0.01,0.023,0.025,0.028,0.016,0.022,0.029,0.031,0.034,0.04,0,0,0.016,0.02,0.02,0.024,0.016,0.019,0.02,0.025,0.024,0.031,0.033,0.038,0.019,0.023,0.035,0.038,0.018,0.03,0.031,0.032,0.037,0.042
