"60^3,v2/u2*,total variance",zf/u*
0.019070322,4.68E-17
0.195470799,0.000551724
0.295589988,0.350896552
0.300357569,0.346482759
0.300357569,0.329931034
0.305125149,0.323310345
0.309892729,0.332689655
0.31942789,0.339310345
0.328963051,0.318896552
0.333730632,0.313931034
0.348033373,0.311172414
0.376638856,0.305103448
0.410011919,0.298482759
0.443384982,0.291310345
0.467222884,0.285241379
0.500595948,0.276965517
0.52443385,0.272551724
0.543504172,0.265931034
0.557806913,0.001103448
0.591179976,0.256
0.610250298,0.252689655
0.662693683,0.24662069
0.696066746,0.238896552
0.729439809,0.230068966
0.743742551,0.225103448
0.767580453,0.218482759
0.772348033,0.209655172
0.772348033,0.203034483
0.772348033,0.000551724
0.800953516,0.196965517
0.83909416,0.187034483
0.867699642,0.179310345
0.920143027,0.171034483
0.963051251,0.163862069
0.996424315,0.156689655
1.039332539,0.149517241
1.05363528,4.68E-17
1.087008343,0.139034483
1.134684148,0.131310345
1.182359952,0.123034483
1.234803337,0.114758621
1.277711561,0.107586207
1.315852205,0.001103448
1.344457688,0.100965517
1.396901073,0.094344828
1.458879619,0.088275862
1.516090584,0.082206897
1.525625745,0.002206897
1.554231228,0.073931034
1.601907032,0.069517241
1.635280095,0.062896552
1.702026222,0.05462069
1.725864124,0.001103448
1.768772348,0.050206897
1.830750894,0.045793103
1.883194279,0.039724138
1.921334923,0.001103448
1.940405244,0.035310345
1.988081049,0.028137931
2.00238379,0.001103448
2.054827175,0.002206897
2.069129917,0.024275862
2.126340882,0.021517241
2.135876043,0.002758621
2.193087008,0.002758621
2.197854589,0.019310345
2.288438617,0.001655172
2.307508939,0.016551724
2.383790226,0.012689655
2.426698451,0.012689655
2.436233611,0.002206897
2.464839094,0.002206897
2.507747318,0.011586207
2.574493445,0.002206897
2.622169249,0.011586207
2.655542312,0.002206897
2.73659118,0.011034483
2.750893921,0.002758621
2.817640048,0.00937931
2.84147795,0.002758621
2.903456496,0.002758621
2.908224076,0.008827586
2.965435042,0.002758621
2.989272944,0.008275862
3.05125149,0.007172414
3.075089392,0.002758621
3.127532777,0.007724138
3.15613826,0.002758621
3.222884386,0.005517241
3.237187128,0.002758621
3.308700834,0.002758621
3.327771156,0.005517241
3.408820024,0.005517241
3.466030989,0.003310345
