"wv/wv0,Andren95,total",z/h
0.027656477,0.99566474
0.03930131,0.985549133
0.056768559,0.979768786
0.075691412,0.971098266
0.090247453,0.959537572
0.107714702,0.949421965
0.119359534,0.932080925
0.129548763,0.914739884
0.135371179,0.894508671
0.147016012,0.878612717
0.155749636,0.862716763
0.163027656,0.842485549
0.167394469,0.830924855
0.177583697,0.813583815
0.181950509,0.800578035
0.190684134,0.780346821
0.202328967,0.75867052
0.211062591,0.734104046
0.219796215,0.713872832
0.232896652,0.699421965
0.247452693,0.686416185
0.256186317,0.667630058
0.269286754,0.654624277
0.279475983,0.638728324
0.288209607,0.621387283
0.304221252,0.606936416
0.31441048,0.592485549
0.323144105,0.579479769
0.333333333,0.563583815
0.350800582,0.547687861
0.366812227,0.528901734
0.384279476,0.50867052
0.395924309,0.497109827
0.414847162,0.484104046
0.427947598,0.466763006
0.439592431,0.458092486
0.445414847,0.445086705
0.451237263,0.429190751
0.4643377,0.413294798
0.473071325,0.393063584
0.486171761,0.375722543
0.500727802,0.356936416
0.512372635,0.338150289
0.518195051,0.328034682
0.526928675,0.307803468
0.547307132,0.291907514
0.560407569,0.281791908
0.576419214,0.268786127
0.595342067,0.252890173
0.620087336,0.242774566
0.641921397,0.226878613
0.669577875,0.212427746
0.68558952,0.197976879
0.707423581,0.182080925
0.733624454,0.164739884
0.748180495,0.150289017
0.768558952,0.14017341
0.794759825,0.12716763
0.81077147,0.11416185
0.835516739,0.101156069
0.857350801,0.088150289
0.876273654,0.079479769
0.896652111,0.070809249
0.918486172,0.053468208
0.937409025,0.043352601
0.947598253,0.036127168
0.965065502,0.020231214
