"wv/wv0,Andren95,theoretical value",z/h
3.30E-17,0.976878613
3.30E-17,0.959537572
0.001455604,0.988439306
0.00727802,0.943641618
0.013100437,0.930635838
0.018922853,0.910404624
0.027656477,0.894508671
0.03930131,0.87283237
0.048034934,0.855491329
0.059679767,0.833815029
0.068413392,0.816473988
0.075691412,0.804913295
0.082969432,0.796242775
0.098981077,0.783236994
0.107714702,0.76734104
0.116448326,0.75433526
0.129548763,0.739884393
0.141193595,0.718208092
0.154294032,0.700867052
0.163027656,0.693641618
0.173216885,0.671965318
0.190684134,0.656069364
0.205240175,0.641618497
0.215429403,0.628612717
0.23580786,0.60982659
0.256186317,0.586705202
0.278020378,0.563583815
0.296943231,0.549132948
0.311499272,0.534682081
0.323144105,0.518786127
0.347889374,0.497109827
0.371179039,0.475433526
0.388646288,0.458092486
0.41775837,0.436416185
0.438136827,0.419075145
0.461426492,0.401734104
0.474526929,0.39017341
0.505094614,0.36416185
0.532751092,0.342485549
0.553129549,0.323699422
0.56768559,0.309248555
0.58224163,0.297687861
0.602620087,0.284682081
0.625909753,0.26300578
0.649199418,0.247109827
0.671033479,0.234104046
0.687045124,0.219653179
0.705967977,0.206647399
0.72489083,0.189306358
0.743813683,0.176300578
0.768558952,0.163294798
0.786026201,0.150289017
0.804949054,0.134393064
0.819505095,0.12283237
0.835516739,0.11416185
0.844250364,0.10982659
0.858806405,0.099710983
0.870451237,0.092485549
0.88209607,0.085260116
0.892285298,0.076589595
0.901018923,0.066473988
0.92139738,0.053468208
0.940320233,0.046242775
0.954876274,0.028901734
0.962154294,0.026011561
0.972343523,0.021676301
